한자단어,빈도
搜剿,2
三,2
下部,2
之,2
各省,2
兼,2
或間,2
副,2
總兵,2
官,2
八月,1
己卯,1
朔日,1
食上詣,1
太皇太后,1
皇太后,1
宮,1
問安,1
福建,1
總督,1
劉斗,1
疏報,1
海寇,1
自,1
撤水師,1
之後帆,1
檣,1
出,1
沒,1
侵犯,1
靡常,1
甚至,1
在,1
各島嶼,1
蓋造,1
房舍,1
臣,1
等,1
密商,1
機宜配,1
發水陸,1
官兵,1
陸續,1
今,1
已,1
六十,1
餘島,1
斬,1
溺賊眾,1
五千,1
百八十,1
餘人,1
生擒,1
賊,1
十八名,1
燒賊,1
木城,1
七座,1
房宇,1
二千,1
九百,1
二十,1
餘間,1
知之,1
戊寅,1
國子監,1
祭酒,1
查祿,1
疏言太學,1
為,1
教化,1
本原,1
地查,1
順治,1
八年,1
十一年,1
曾令,1
學臣,1
選取,1
生員文行,1
優者,1
起,1
送,1
赴,1
監今,1
宜,1
遵,1
倣,1
此例,1
於,1
郡,1
邑,1
各,1
庠,1
一歲,1
三五,1
歲,1
舉文行,1
優年,1
齒少,1
壯者,1
一人入,1
太學,1
更,1
請,1
遵照,1
世祖,1
章,1
皇帝,1
時,1
舊制,1
每科,1
直隸,1
鄉試,1
各取,1
榜,1
若干名,1
送監,1
肄業,1
如此,1
則辟,1
雍多經,1
明行,1
修之士,1
矣,1
議行,1
陞,1
參領,1
石調,1
聲為,1
杭州,1
都,1
統,1
庚辰,1
贈故,1
黔西,1
李如,1
碧,1
太子,1
太保,1
予,1
祭葬,1
如例,1
四川,1
建昌,1
佟浩年,1
以,1
老,1
乞,1
休允,1
위기,0
