한자단어,빈도
總兵,4
等,4
復,3
以,3
於,3
偽,3
屢敗,2
賊眾,2
恢,2
賊,2
朕,2
聽,2
以下,2
水師,2
官,2
陜,2
西,2
率兵,2
參將,2
官兵,2
斬,2
擒,2
下部,2
議敘,2
閏,1
五月,1
戊子,1
朔,1
上詣,1
太皇太后,1
宮,1
問安諭,1
兵部,1
秦省,1
巖,1
疆,1
重地,1
軍務方,1
殷靖逆將,1
軍侯,1
張勇忠勤,1
懋,1
著謀略,1
優長,1
久鎮,1
西陲,1
奠,1
安疆,1
宇近,1
躬,1
履行,1
間,1
殫心,1
籌畫,1
城池,1
志期,1
殲滅,1
渠,1
底定,1
秦隴,1
甚嘉之凡,1
用兵,1
籌餉,1
一切,1
機宜,1
必須,1
專其責任,1
而,1
後,1
可以,1
整飭,1
軍紀齊,1
一眾心,1
以牧,1
蕩,1
平之績,1
所屬,1
地方,1
官有,1
故,1
違節制,1
不,1
調遣者,1
許即,1
指,1
參副將,1
有,1
臨陣,1
退縮,1
殺良,1
冒功,1
者,1
軍法,1
從,1
事,1
其,1
文官,1
自道員,1
倘有,1
遲,1
悞,1
緊急,1
軍,1
需者,1
會同,1
巡撫據,1
實題,1
參務令克,1
專壯猷,1
早奏,1
膚功,1
副,1
委任,1
重意,1
原任,1
廣東,1
張國勳,1
為,1
潮州,1
丁亥,1
總督哈,1
占,1
疏報,1
固原,1
鎮標,1
遊擊,1
趙,1
元輔,1
赴寧州,1
逆,1
東河灘,1
焦家,1
坑,1
處,1
楊宗道,1
敗賊,1
甘泉,1
又,1
鳳縣,1
逆孽,1
勾引,1
川賊,1
侵犯,1
寶雞縣,1
之盤,1
棋宮,1
天王,1
村滿漢,1
疾趨,1
撲,1
剿逆賊,1
大敗,1
都司,1
李玉國,1
劉偶,1
三,1
庚寅,1
提督,1
陳,1
福疏,1
報逆賊,1
朱龍,1
大肆,1
猖獗,1
臣,1
三月,1
二十日,1
自寧夏,1
統兵,1
駐,1
劄,1
靈武遣,1
惠安,1
韋州,1
安定,1
三堡,1
至興,1
武營會合,1
蒙古,1
索諾,1
慕貝勒下,1
各,1
台吉,1
兵馬圍,1
困花馬,1
池遣,1
兵前,1
赴,1
定邊,1
殺敗,1
위기,0
