한자단어,빈도
之,4
空言,4
直隸,3
等,3
講道,3
而,3
也,3
其,3
大臣,2
為,2
按察使,2
祭葬,2
如,2
巡撫,2
古今,2
學者,2
非議,2
言行相符,2
以,2
若,2
即,2
故,2
見,2
司馬光,2
在,2
朝,2
雨水,2
來,2
秋,1
七月,1
己亥,1
朔享,1
太廟,1
遣領,1
侍衛內,1
公坡爾盆,1
行禮,1
陞,1
霸昌道,1
郎廷棟,1
湖南,1
司,1
予故,1
正黃旗,1
領侍衛內,1
二等,1
伯霸圖,1
例予,1
故廣東,1
彭鵬,1
如例,1
丁酉,1
上,1
諭,1
起居注,1
官揆,1
敘,1
曰,1
甚多,1
尤好,1
人彼亦僅,1
能言,1
耳,1
者,1
蓋,1
寡是,1
朕,1
不尚,1
斷,1
不肯,1
古人,1
何以,1
言,1
凡人,1
各有,1
短長,1
棄短,1
取長,1
始能,1
盡人,1
之材,1
必,1
求全,1
責備,1
稍,1
有,1
欠缺,1
行,1
指摘,1
此非,1
忠恕,1
之道,1
孔子,1
當時,1
惟節,1
取人,1
之善,1
隱諱,1
人,1
短,1
凡事,1
求諸己,1
不非,1
諸人,1
是,1
豈,1
可少容,1
私意,1
於,1
其間乎,1
又,1
人見,1
學之人,1
或,1
不見,1
用輒,1
太息,1
以為,1
彼果,1
用,1
必有,1
可觀,1
此亦徒,1
而云然,1
若果,1
見用,1
言行,1
亦,1
未必,1
相符,1
惟宋,1
編輯,1
資治通,1
鑑論斷,1
盡得,1
當而後之論者,1
反未嘗置,1
諸講道,1
學之列,1
乃,1
宋朝,1
名,1
相,1
由此,1
以觀,1
不,1
君子,1
先行,1
後,1
言果,1
周程,1
張,1
朱,1
勉行,1
道學,1
實者,1
自當見,1
諸議論,1
但,1
學斷乎,1
不可,1
朱子,1
洵,1
稱,1
大儒,1
非泛,1
言道,1
可比,1
擬也,1
喀,1
喇沁,1
札,1
薩克鎮,1
國公善,1
巴喇錫來,1
庚子,1
傳諭,1
京大學士,1
近觀,1
塞外,1
調和百,1
穀,1
暢茂爾,1
可,1
簡善,1
馳賢能,1
中書,1
分遣,1
河南,1
山東,1
各一員,1
問明,1
多寡,1
禾苗,1
情形,1
奏,1
差往,1
處者,1
并,1
探,1
永定,1
子牙二,1
河水,1
勢,1
通州,1
之河,1
著,1
倉場,1
侍郎,1
具,1
摺,1
回奏,1
阿霸,1
垓,1
多羅,1
郡王,1
吳爾,1
占噶喇卜,1
固山,1
貝子,1
車林敦羅布,1
위기,0
