한자단어,빈도
等,8
萬,6
文武,3
及,3
四百,3
大清,2
聖祖合,2
天弘運,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
一百九十,2
諸王,2
貝勒貝子,2
大臣,2
大學士,2
皇太后,2
阿霸,2
忒,2
上,2
都,2
節婦,2
二千,2
六百,2
五百,2
七百,2
八千,2
二,1
康熙,1
三十八年,1
己卯,1
春,1
正月,1
辛未,1
朔,1
上詣,1
堂子,1
行禮,1
還宮,1
拜神,1
畢率,1
公內,1
侍衛等詣,1
宮行,1
禮御殿,1
王,1
以下,1
各官外,1
藩王,1
使臣,1
上表,1
朝賀,1
停止,1
筵宴,1
朝鮮國王,1
李,1
焞,1
遣,1
陪臣,1
李彥,1
綱等表賀,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
庚午,1
賜,1
朝,1
王正,1
外藩,1
烏朱,1
穆秦,1
巴林,1
鄂爾,1
多斯,1
哈納,1
蒿,1
齊,1
垓,1
毛明安蘇,1
尼特,1
喀喇沁,1
吳喇,1
厄魯特喀爾,1
喀,1
郭爾羅斯扎魯特,1
土默特,1
克西,1
克騰,1
科爾沁奈曼,1
敖漢,1
翁牛特,1
四子,1
部落,1
阿祿,1
科爾沁,1
歸化城,1
哈密,1
公,1
台吉,1
內,1
三旗,1
統副,1
統侍衛,1
宴,1
旌表,1
八旗,1
滿洲,1
穆塞妻,1
馬,1
加氏,1
六十六,1
人,1
蒙古,1
沙齊,1
妻麻氏,1
十一,1
人漢軍方,1
堅妻,1
王氏,1
三人,1
直隸,1
各省,1
姜,1
王德妻,1
楊氏,1
二十三,1
人貞,1
女羅學德聘,1
妻蘇氏,1
二人,1
各給,1
銀建坊,1
如例,1
歲,1
人丁,1
戶口,1
四十一,1
九十三,1
田地,1
山,1
蕩,1
畦,1
地,1
九十八,1
六千,1
七十五,1
頃,1
三十四,1
畝有,1
奇徵銀,1
三十九,1
五百三十,1
八兩有,1
奇米,1
豆麥,1
九十六,1
七十二,1
石有,1
奇草,1
二百,1
八萬,1
一千六百五十,1
三束,1
茶,1
十五,1
七千四百,1
五十三,1
引行,1
鹽,1
三十一,1
九千,1
三,1
百八十,1
引徵課,1
銀,1
二百六十,1
九萬,1
八十二,1
兩有,1
奇鑄,1
錢二萬,1
三千八百,1
六萬,1
五千,1
有奇,1
一,1
癸酉,1
奉,1
幸暢,1
春園,1
위기,0
