한자단어,빈도
臣,16
李之芳,7
係,5
與,5
又,5
謂,5
有,5
吏部,4
廕,4
迴,4
為,3
以,3
內,3
得,3
順治,3
十八年,3
正宗,3
復,3
纂修,3
其,3
無,3
豈,3
不,3
之,3
陞,2
魏裔,2
受過,2
肯,2
尚書,2
因,2
世祖,2
章,2
皇帝,2
送,2
且,2
在,2
五月,2
具題,2
櫆,2
借端,2
至,2
覆,2
官,2
取用,2
同,2
矣,2
據,2
皆,2
可,2
六月,1
丙戌,1
朔,1
上詣,1
太皇太后,1
皇太后,1
宮,1
問安,1
護軍統,1
領席,1
卜臣,1
鑲,1
白旗,1
蒙古,1
都統,1
乙酉,1
加,1
四川,1
巡撫,1
張德地,1
工部,1
尚書銜,1
招民,1
議敘,1
也,1
戊子,1
秘書院,1
大學士,1
魏裔介,1
遵旨,1
回奏,1
臺,1
李之芳謂,1
今年,1
考選,1
庶常,1
使,1
人報,1
信臣,1
諸人,1
非親,1
非故,1
所報,1
何人,1
如有,1
確據,1
即宜,1
糾參何,1
懸,1
揣謂,1
洩漏,1
市恩耶,1
山東,1
運使,1
魯,1
之兄,1
敕,1
書,1
私自,1
增改同,1
官代為,1
典籍,1
含冤,1
降級,1
察議,1
此,1
一案,1
時臣適,1
告假,1
歸里,1
何交結,1
情面,1
而,1
諸臣,1
代臣,1
候補,1
之官,1
不應,1
子,1
及,1
身為,1
欺朦題,1
糾參劉,1
摘發,1
奸黨,1
審實,1
職在,1
十七年,1
冬月,1
正月,1
賓天臣,1
晝夜,1
齋宿,1
在籍,1
候補者,1
不同,1
隨例,1
題疏,1
奉,1
俞旨,1
康熙,1
二年,1
內臣,1
相隔,1
甚遠安,1
得以,1
滿漢堂,1
司公議,1
奉旨,1
俞允,1
之事謂,1
自行,1
欺朦乎,1
臣弟,1
訥任,1
桃源,1
知縣,1
地方,1
凋敝,1
指稱,1
族,1
叔,1
魏,1
祥,1
任江寧府,1
同知,1
避臣,1
祖魏,1
純粹,1
明季,1
甲辰,1
科進,1
士官,1
御史,1
祖母,1
程氏,1
生臣父,1
兄弟,1
七人魏,1
祥行,1
居,1
第七,1
避時,1
取有,1
甘結部,1
在案,1
避,1
事例,1
俱,1
從,1
職卑者,1
避部,1
自有,1
成例,1
何涉,1
選取,1
實錄,1
官時,1
將素,1
無才學,1
杜鎮,1
查杜鎮任,1
刑部,1
主事堂,1
官令,1
律例,1
部院,1
考察,1
曾列,1
一等,1
何謂,1
文名,1
取入,1
各官,1
乃臣,1
衙門會,1
公議,1
公疏,1
阿私,1
耶,1
班布爾善,1
朋比相,1
倚臣,1
內院,1
凡班布爾善,1
商議,1
言,1
盡亦時,1
相爭,1
之事,1
鰲,1
拜,1
勢,1
燄,1
足,1
跡,1
登,1
門,1
況,1
班,1
布,1
爾,1
善,1
蹈,1
朋,1
比,1
事,1
乎,1
遭逢,1
知遇,1
拔置,1
憲長,1
曾,1
參劉,1
劉祚遠,1
等,1
將伊從,1
重處,1
分伊等,1
黨類,1
切齒,1
於,1
久,1
劉,1
同鄉,1
所,1
參巧,1
搆,1
誣,1
屬,1
恐,1
報,1
謀,1
售,1
凡,1
臣子,1
非其黨,1
類者,1
傾害,1
至於,1
臣識,1
見,1
庸,1
下負,1
乘貽譏,1
既,1
被,1
人言,1
靦顏,1
居綸扉,1
之側,1
伏懇,1
乾斷,1
即,1
賜,1
處分,1
職之戒,1
旨,1
本內,1
情節,1
著質,1
對察議,1
具奏,1
위기,0
