한자단어,빈도
官兵,4
兵部,3
副,3
都,3
武昌,3
官,2
諭,2
前往,2
兗州,2
之,2
赴,2
千八百,2
二十名,2
三月,1
乙丑,1
朔命,1
諸路,1
設筆,1
帖式,1
馳遞,1
軍情,1
癸亥,1
清明,1
節遣,1
祭,1
永陵,1
福陵,1
昭陵,1
孝陵,1
江西,1
一省,1
東接,1
福建,1
南界,1
廣東西,1
通湖,1
廣為,1
三省,1
要,1
地令,1
統,1
根特,1
巴圖,1
魯,1
安慶,1
統席,1
布率兵,1
速赴,1
江西省,1
城原,1
駐江寧,1
統馬,1
哈達將,1
自京,1
所帶,1
甲兵,1
移,1
駐安慶,1
其察哈爾,1
左右,1
兩翼,1
於,1
秣,1
馬,1
後,1
左翼,1
江寧,1
聽,1
江寧將,1
軍統,1
轄,1
右翼,1
赴安慶,1
聽馬哈達,1
統轄諭,1
駐守,1
滿兵,1
既往,1
岳州,1
長,1
沙其,1
防守,1
南汝之真定,1
總兵,1
張華善,1
即領,1
協守念,1
軍士,1
自真定,1
調赴,1
河南,1
今,1
又,1
遣,1
往,1
實為,1
勞苦,1
其,1
各以,1
白金,1
優賚,1
丙寅,1
先是,1
康熙,1
八年,1
議政王,1
大臣,1
等會議,1
廣東額,1
兵七萬六,1
應裁,1
一萬二,1
除汰,1
過外,1
尚有,1
未,1
裁兵,1
六千,1
餘至,1
是,1
粵東,1
海疆,1
幅員,1
遼闊,1
未裁,1
之兵,1
仍,1
留之以,1
資守禦,1
위기,0
