한자단어,빈도
大臣,4
上,3
等,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
駐蹕,2
地方,2
賜,2
二百五,1
康熙,1
四十年,1
辛巳,1
秋,1
七月,1
丙戌,1
朔享,1
太廟,1
遣領,1
侍衛內,1
公鄂倫,1
岱,1
行禮,1
沙爾丹,1
阿林,1
翁牛特,1
多羅杜,1
楞,1
郡王,1
頒,1
第敖漢,1
台吉,1
垂札,1
穆素,1
來,1
朝,1
俱,1
袍褂,1
緞,1
疋,1
物,1
乙酉,1
花,1
拖羅海,1
旌表,1
浙江,1
烈婦,1
金子,1
俊妻,1
廖氏,1
拒姦,1
被,1
戮,1
殞命,1
完貞給,1
銀建坊,1
如例,1
二百,1
四,1
丁亥,1
領侍衛內,1
公費揚,1
古途間,1
患病,1
停鑾,1
一日,1
親往,1
視疾賜,1
御帳,1
一,1
又,1
命,1
侍衛,1
時,1
往視,1
之費揚,1
古尋病,1
篤,1
鞍馬,1
三匹,1
散馬,1
四匹,1
銀,1
五千,1
兩蟒,1
緞等物,1
遣,1
內,1
侍衛等護,1
送,1
還家,1
위기,0
