한자단어,빈도
之,4
上詣,2
太皇太后,2
皇太后,2
及,2
等,2
表賀,2
官,2
康熙,1
七年,1
戊申,1
春,1
正月,1
庚子,1
朔,1
堂子,1
行禮,1
還宮,1
拜神,1
畢率,1
諸王,1
貝勒貝子,1
公內,1
大臣,1
大學士,1
都,1
統尚書,1
精奇,1
尼哈番,1
侍衛等詣,1
宮行,1
禮御殿,1
王,1
以下,1
文武,1
各官外,1
藩王,1
使臣,1
上表,1
朝賀,1
照例,1
筵宴,1
朝鮮國王,1
李,1
棩,1
遣,1
陪臣,1
鄭致,1
和,1
親政表文,1
曰,1
運屆,1
千齡聿睹,1
聖作,1
躬親,1
萬務益,1
恢皇圖,1
凡,1
在,1
照臨,1
實均,1
歡聳欽,1
惟,1
皇帝,1
陛下,1
夙膺,1
景命,1
丕,1
纘,1
洪基,1
當漢昭辨詐,1
年,1
迺,1
從,1
歸政,1
請,1
迨,1
周成,1
即,1
辟,1
日舉,1
切望,1
治之心,1
猗,1
歟,1
百度,1
之維新,1
允,1
矣,1
四海,1
之同慶,1
伏念臣,1
叨守緒業,1
偏荷,1
寵靈跡,1
滯東,1
藩莫造,1
虎,1
拜,1
之列,1
神馳,1
北極,1
第勤,1
鰲,1
忭,1
誠,1
又,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
戊戌,1
歲,1
暮,1
祫,1
祭太廟,1
上,1
親詣,1
行禮遣,1
祭,1
永陵,1
福陵,1
昭陵,1
孝陵遣,1
祭太歲,1
之神,1
壬寅,1
宮,1
問安,1
위기,0
