한자단어,빈도
之,5
居官,4
穀,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
一百六十,2
乞休,2
允,2
等,2
巡撫,2
所,2
奉行,2
之善,2
不善,2
哉,2
地方,2
百姓,2
三,1
康熙,1
三十三年,1
甲戌,1
夏,1
四月,1
戊辰,1
朔享,1
太廟,1
上,1
親詣,1
行禮,1
上幸,1
暢春園,1
盛京,1
禮部,1
侍郎,1
單璧以,1
年老,1
杭州,1
將軍郭丕以,1
老病,1
丁卯,1
諭大學士,1
山東,1
桑額,1
奏,1
屬積,1
貯米,1
並無虧,1
空,1
此前,1
任撫臣,1
佛倫,1
也,1
朕,1
巡行,1
霸州,1
時聞,1
大城,1
縣,1
知縣,1
祖延泰散,1
賑濟,1
或,1
有,1
富戶,1
冒稱,1
飢民者,1
查出,1
即將,1
其家,1
所積,1
散給,1
貧民,1
因此,1
並無,1
假冒,1
貧民得,1
沾,1
實惠,1
是則,1
存乎其人,1
從前,1
總督,1
張長,1
庚屈,1
盡美,1
白色,1
純,1
韓世琦,1
不數,1
年,1
間子,1
孫窮困,1
由此,1
觀之徒貽惡名,1
此輩,1
貪,1
取者,1
今安,1
在,1
且,1
果善,1
其光榮,1
自不待言,1
如,1
江南,1
將軍博霽調,1
西安,1
將軍,1
起程,1
之日,1
兵民泣,1
送,1
屈盡美,1
離任,1
之時,1
皆,1
為,1
切齒,1
善否,1
舉朝,1
之人及,1
自有,1
公論,1
豈,1
能,1
掩飾,1
二,1
己巳,1
以故,1
一等,1
精奇,1
尼哈番,1
巴爾彌特子,1
多爾集,1
襲職,1
위기,0
