한자단어,빈도
等,7
上詣,3
都,3
太皇太后,3
皇太后,3
大臣,2
大學士,2
統尚書,2
及,2
宮,2
蒙古,2
康熙,1
十一年,1
壬子,1
春,1
正月,1
戊申,1
朔,1
堂子,1
行禮,1
還宮,1
拜神,1
畢率,1
諸王,1
貝勒貝子,1
公內,1
精奇,1
尼哈番,1
侍衛等詣,1
宮行,1
禮御殿,1
王,1
以下,1
文武,1
各官外,1
藩王,1
使臣,1
上表,1
朝賀,1
照例,1
筵宴,1
朝鮮國王,1
李,1
棩,1
遣,1
陪臣,1
鄭致,1
和,1
表賀,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
丁未,1
問安賜,1
朝正,1
翁牛特,1
察哈爾奈曼,1
四子,1
部落,1
阿霸,1
垓,1
喀爾喀蘇,1
尼特,1
蒿齊,1
忒,1
王貝勒貝子,1
公及,1
內,1
上,1
三旗,1
統副,1
侍郎,1
學士,1
侍衛,1
宴,1
旌表,1
八旗,1
節婦,1
滿洲,1
峨爾博妻,1
法氏,1
二十六,1
人,1
宋俄圖,1
妻杜氏,1
三人漢,1
軍,1
唐圻,1
妻柯氏,1
五人烈,1
婦滿洲,1
牙,1
哈里,1
妻,1
隨氏,1
六人,1
恩伊,1
參妻,1
奔氏,1
一人,1
各給,1
銀建坊,1
如例,1
癸丑,1
問安順,1
天府,1
進春,1
위기,0
