한자단어,빈도
尚未,4
文武,3
之,3
副,3
尊號,3
朕,3
大清,2
聖祖合,2
天弘運,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
一百八十,2
陞,2
盛京,2
都,2
為,2
左,2
都御史,2
休息,2
復,2
侍郎,2
四,1
康熙,1
三十六年,1
丁丑,1
六月,1
己酉,1
朔,1
戶部,1
理事,1
官戴,1
里,1
都察院,1
丁未,1
嚴曾,1
榘,1
兵部,1
右侍郎,1
浙江,1
黃,1
巖,1
總兵,1
官,1
趙,1
弘燦丁父,1
憂命,1
回,1
籍守制,1
予故,1
荊州,1
統和索利,1
祭葬,1
如例,1
三,1
庚戌,1
上詣,1
皇太后,1
宮,1
問安諸,1
王貝勒貝子,1
公滿漢,1
文武官,1
員及,1
遠近,1
士民,1
赴,1
暢春園,1
恭,1
請,1
皇上,1
允受,1
神聖,1
大德,1
廣運,1
上,1
諭,1
曰,1
御極,1
四十年,1
雖,1
自始,1
至終,1
孜孜不倦,1
而,1
吏治,1
澄清,1
民生,1
豐裕,1
士卒,1
風俗,1
淳樸且,1
旱潦,1
災異,1
亦,1
相,1
仍,1
方今,1
外寇,1
既靖,1
正宜,1
生養,1
徒加,1
何益,1
於,1
治,1
蕩,1
平噶爾丹,1
機宜,1
未嘗,1
有失,1
苟,1
天下,1
共能,1
知,1
願,1
足矣,1
崇上,1
不必,1
行,1
毋,1
再,1
奏命,1
禮部,1
阿山,1
以禮部,1
銜管,1
翰林院,1
掌院,1
學士事,1
위기,0
