한자단어,빈도
隄岸,6
曰,4
隄,4
武清,3
上,3
等,3
奏,2
兒渡,2
修築,2
水勢,2
於,2
之外,2
另築,2
一,2
爾,2
田,2
田畝,2
今歲,2
是,2
日,2
郡王,2
御舟泊,2
五月,1
甲戌,1
朔上,1
登陸,1
巡視,1
縣,1
眾民,1
跪叩,1
耍,1
地方,1
自蒙,1
皇上,1
迄今,1
永無,1
水患,1
此處,1
正當,1
衝射,1
請,1
此,1
若,1
另作,1
畝,1
豈,1
不,1
多,1
致,1
占,1
廢,1
眾,1
民,1
原,1
非,1
一家,1
即,1
稍,1
入,1
內,1
小民,1
亦,1
無大損,1
倘,1
河水,1
一決,1
其患,1
更,1
甚上,1
轉盼間,1
雨,1
潦,1
將屆,1
不及,1
暫,1
立木,1
樁,1
堅護,1
另開,1
小河,1
以洩,1
可以,1
無虞,1
俟,1
明春,1
雨水,1
前,1
重,1
廬,1
俱,1
得,1
安固,1
矣,1
至,1
合河,1
站,1
登舟,1
御,1
舟泊,1
縣紅廟,1
埂子,1
癸酉,1
巡幸,1
漕河,1
閱視要,1
命皇長,1
子,1
多羅直,1
允,1
禔,1
皇,1
三子,1
多羅,1
誠,1
允祉,1
隨駕,1
啟行,1
通州,1
崔家樓,1
乙亥,1
縣黃家莊,1
위기,0
