한자단어,빈도
駐蹕,3
按察使,3
布政使,2
司,2
陜,2
西岷州,2
再,2
從,2
之,2
奏,2
是,2
日,2
上,2
大臣,2
三月,1
己酉,1
朔上,1
白旗,1
堡,1
陞,1
福建,1
張所志為,1
江西,1
雲南,1
永昌,1
道范,1
時秀為,1
湖南,1
予故,1
二等,1
精奇,1
尼哈番,1
晉布,1
祭葬,1
如例,1
禮部議,1
衛圓覺,1
寺,1
番,1
僧,1
厚,1
只,1
即丹子,1
當逆賊,1
變亂,1
之時,1
糾合,1
土兵,1
攻取,1
城池,1
已封,1
弘濟光,1
教大國師,1
撥給,1
衛屬,1
官地,1
五頃,1
免其納,1
糧,1
戊申,1
太皇太后,1
書,1
曰,1
臣,1
暌,1
離訓,1
誨,1
思念,1
日增,1
戀戀,1
之心,1
須臾,1
不能,1
忘,1
也,1
日前,1
請候,1
起居,1
定蒙慈,1
鑒,1
此恭請,1
萬安,1
曷,1
勝,1
嚮,1
往,1
至,1
皇太后,1
書同,1
滾諾爾,1
地方,1
庚戌,1
於,1
遼河,1
網魚,1
賜扈,1
諸王,1
貝子,1
公等,1
內,1
侍衛,1
部院,1
官員,1
遼,1
河西,1
위기,0
