한자단어,빈도
等,6
上詣,2
皇太后,2
宮,2
盛京,2
大學士,2
杜立德,2
在,2
朕,2
從,2
前,2
報臣,2
監禁,2
總兵,2
蒙古,2
閏,1
七月,1
甲寅,1
朔,1
問安,1
刑部侍郎,1
鄔赫緣,1
偷安,1
溺職,1
降五級,1
以,1
武職,1
効,1
力,1
己酉,1
問安予,1
故,1
太子,1
太師,1
保和殿,1
兼禮部,1
尚書,1
祭葬加,1
祭,1
一次,1
諡,1
文端,1
諭,1
曰,1
世祖,1
皇帝,1
時,1
居官,1
早者,1
著賢,1
聲,1
稟,1
性,1
厚重,1
行事,1
正大,1
非若,1
他人,1
之徒務虛名,1
也,1
任用,1
多年,1
老成,1
恪慎,1
如,1
遇事,1
得,1
其,1
情理,1
不肯,1
苟,1
隨,1
同列,1
必,1
於,1
直言,1
敷奏,1
任時,1
陳,1
奏,1
之,1
處,1
頗,1
多,1
可謂,1
賢臣,1
矣,1
丙辰,1
四川,1
陜,1
西,1
總督,1
葛思泰疏,1
差甘肅,1
副,1
將陳祚昌,1
哨探,1
至昌寧,1
湖有,1
巴圖爾額爾克濟,1
農之弟,1
博際遣,1
親信,1
喇嘛,1
格隆,1
來言素,1
蒙,1
皇恩,1
不敢,1
背負,1
今,1
請,1
在昌寧,1
湖牧馬陳祚昌度,1
其將,1
往,1
西海,1
借名,1
牧馬緩,1
我,1
軍機,1
隨將格隆,1
一面,1
及,1
官甘肅,1
官柯彩,1
調遣,1
遊擊,1
李士,1
達,1
等領,1
官兵,1
四路,1
進剿,1
大敗,1
兵殺,1
五百,1
餘人,1
博際,1
遁走,1
追躡百餘里,1
所,1
獲,1
牲畜,1
器械,1
無算,1
生擒,1
十五,1
人,1
並前,1
之格,1
隆額,1
林臣,1
索諾木,1
皆,1
斬,1
之下,1
部議,1
敘免,1
江西,1
南昌,1
五府,1
康熙,1
二十三年,1
至,1
二十七年,1
民欠,1
未,1
完額,1
賦,1
위기,0
