한자단어,빈도
錢,4
為,2
阿思哈,2
尼哈番,2
之,2
鉛,2
多,2
請,2
將紅銅,2
停,2
其,2
寶泉局,2
閏,1
七月,1
丁酉,1
朔,1
陞,1
詹事特,1
默德,1
內閣,1
學士,1
兼禮部,1
侍郎,1
仍管,1
詹,1
事事,1
辛卯,1
以故,1
一等,1
巴顏,1
圖子,1
巴爾度,1
三等,1
顧穆親,1
叔,1
孫馬尼,1
岱,1
各襲,1
職,1
管理,1
錢法,1
戶部,1
右侍郎,1
魯伯赫,1
疏言寶泉局,1
中現,1
今收,1
貯廢錢,1
攙,1
鑄,1
四年,1
尚屬,1
有餘且,1
紅銅,1
銅少,1
以致,1
折耗,1
甚多,1
小,1
交送,1
得,1
旨,1
著戶,1
部堂,1
官親,1
往驗,1
看議,1
奏,1
尋戶部,1
尚書馬齊,1
覆奏臣,1
等,1
親至,1
銷,1
燬,1
驗,1
看,1
果,1
係,1
銅,1
少,1
應,1
如,1
所,1
收,1
買,1
從,1
戊戌,1
諭禮部,1
妃,1
張雅氏,1
性行,1
溫良克嫻,1
內則,1
久,1
侍宮,1
闈,1
敬慎素,1
著,1
今以,1
疾逝,1
深為,1
軫,1
悼其,1
諡,1
敏妃,1
應行禮,1
儀爾部察,1
例行,1
위기,0
