한자단어,빈도
月,6
盛京,5
俸,5
餉,5
錢,4
兵丁,4
其,4
之,4
官兵,3
二月,3
又,3
五個,3
亦,3
兩,3
康熙,3
諭,2
等,2
曰,2
及,2
以,2
明年,2
朕,2
從,2
萬,2
餘,2
餘石,2
河南,2
請,2
九月,1
戊子,1
朔戶,1
部題,1
奉天,1
將軍,1
宗室,1
公綽克,1
託,1
戶部,1
侍郎,1
阿喇彌等,1
預給,1
出征,1
次年,1
糧,1
違例,1
豫給,1
糧應,1
交部察議,1
其豫給,1
應,1
扣除,1
補項,1
上,1
大學士,1
全恃田畝,1
耕,1
穫,1
給糧,1
為,1
資生,1
之計,1
昨歲,1
禾稼,1
不登,1
貧困,1
艱於粒,1
食,1
曾,1
屯糧,1
頒發,1
賑救,1
頃值,1
軍興遣,1
一等,1
侍衛,1
齊蘭布,1
往調,1
隨發諭,1
旨令,1
無馬匹者給,1
與,1
官廠,1
馬,1
匹,1
無行,1
糧者,1
給以,1
莊屯,1
糧米,1
踴躍遄征,1
倉,1
卒,1
之際置,1
辦,1
一切,1
軍裝,1
遂,1
支領,1
分應給,1
豫,1
支五個,1
糧刻期,1
進發,1
比,1
厄魯特噶爾丹敗,1
遁,1
雖,1
未接,1
戰而,1
奮勇,1
敵愾,1
深,1
可嘉,1
悅今,1
若,1
將豫支,1
復,1
行,1
扣抵,1
則窮乏,1
必致,1
生計,1
艱窘,1
心殊,1
切憫,1
惻,1
所豫給,1
分應支,1
增給,1
糧免,1
抵扣,1
仍令,1
照常,1
支給,1
以示,1
愛養,1
將士,1
軫,1
恤,1
疾苦,1
至意,1
大臣,1
寬,1
免交,1
該,1
部察議,1
前,1
京城,1
之兵豫給,1
糧若,1
全扣,1
必至,1
困乏,1
按,1
止,1
扣,1
一,1
以足,1
其數,1
有,1
事故,1
則已,1
此旨,1
傳諭戶,1
部知,1
丁亥,1
上詣,1
皇太后,1
宮,1
問安,1
庚寅,1
諭戶部,1
直隸,1
順天,1
保定,1
河間,1
真定,1
順德廣平,1
大名,1
所屬,1
並宣府,1
處,1
被,1
災黎氓,1
殊為,1
可憫,1
二十八年,1
未徵,1
地丁,1
二十六,1
三千五百,1
糧五萬,1
七千,1
三百,1
九十,1
二十九年,1
上半年,1
應徵銀,1
三十一,1
一千五百,1
糧二萬,1
八千,1
七百,1
二十,1
盡行,1
蠲免,1
戶部議,1
覆,1
巡撫,1
閻興邦,1
疏言,1
本,1
年,1
歉收,1
漕糧,1
暫免,1
辦運,1
俟,1
三十年,1
補行,1
徵解應,1
如,1
所,1
위기,0
