한자단어,빈도
遣使,3
等,3
上,2
駐蹕,2
康熙,2
達賴,2
喇嘛,2
偽,2
下部,2
冬,1
十月,1
甲辰,1
朔享,1
太廟,1
遣,1
吏部,1
尚書,1
吳達,1
禮行,1
禮遣,1
官,1
祭,1
永陵,1
福陵,1
昭陵,1
孝陵仁,1
孝,1
皇后,1
湯泉,1
頒,1
十七年,1
時憲,1
曆,1
先是,1
十四年,1
存問,1
賜,1
以璽,1
書,1
至,1
是,1
請安謝,1
恩疏,1
曰,1
欽,1
惟,1
皇帝,1
陛下,1
作天,1
人,1
之,1
主宰,1
為,1
億兆所,1
依歸,1
不棄,1
釋迦後進,1
法派,1
寵加,1
欣逢,1
各種,1
隆重,1
布施,1
親手,1
接受,1
敬獻紅素,1
柔,1
罽,1
諸物,1
望明,1
鑒,1
而,1
恤,1
之謹,1
鞠躬,1
合掌,1
潔,1
心上,1
奏得旨,1
貢獻禮物,1
著察收,1
癸卯,1
閻家,1
屯東,1
乙巳,1
免,1
江西,1
新建,1
十三,1
州縣,1
本年,1
分旱,1
災額,1
賦有,1
差,1
福建,1
總督郎廷,1
相疏,1
報逆賊,1
朱寅,1
突犯,1
安溪,1
縣城署,1
縣事,1
李鈺,1
同千總張,1
文福,1
率兵,1
奮擊,1
斬,1
提督,1
林蕙,1
徐化,1
并,1
賊,1
兵千餘餘賊,1
潰遁,1
保全,1
城池,1
議敘郎廷,1
相,1
又,1
報,1
按察使,1
吳興祚,1
招撫,1
光澤山寇,1
都督,1
陳,1
龍,1
施廷宇,1
二百,1
十四,1
員,1
兵丁,1
一萬,1
九千,1
五百,1
餘名,1
議敘,1
위기,0
