한자단어,빈도
等,4
皇后,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
上,2
江南,2
御史,2
鄉試,2
李蟠,2
一百九十六,1
康熙,1
三十八年,1
己卯,1
十一月,1
乙未,1
朔,1
冬至,1
祀,1
天,1
於,1
圜丘,1
親詣,1
行禮遣,1
官,1
祭,1
永陵,1
福陵,1
昭陵,1
暫安奉,1
殿,1
孝陵仁,1
孝,1
孝昭,1
孝懿,1
陵,1
停止,1
次日,1
朝賀,1
甲午,1
上詣,1
皇太后,1
宮,1
問安以,1
李鎧為,1
太,1
常寺卿,1
一百九十,1
五,1
丁酉,1
道,1
鹿,1
祐,1
疏,1
參順天,1
正副,1
考官,1
修撰,1
編修,1
姜宸,1
英,1
以賓,1
興論秀,1
之典,1
為,1
縱,1
恣行,1
私之地,1
實為,1
有,1
玷清班,1
請立,1
賜,1
罷斥,1
諭,1
大學士,1
曰,1
順天,1
所,1
中式,1
者,1
童稚,1
甚多物,1
論騰,1
沸大殊,1
往昔,1
考試,1
係,1
國家,1
大典,1
所當,1
嚴飭,1
以示,1
警戒,1
鹿祐題,1
參,1
可嘉,1
著,1
九卿,1
詹事,1
科道,1
會,1
同將,1
嚴加議,1
處免,1
邳州,1
清河,1
十州,1
縣本,1
年,1
分水,1
災額,1
賦有,1
差,1
위기,0
