한자단어,빈도
我,34
之,28
等,26
於,21
而,16
喇嘛,15
不,15
朕,15
胡土克圖,13
矣,13
以,12
爾,12
使,12
已,11
亦,11
上,11
曰,11
是,10
來,10
皇上,10
至,9
又,9
與,9
皇帝,8
俱,8
去,8
在,8
諭,8
占,8
地方,7
大臣,7
馬,7
噶爾丹,7
敕,7
吳爾,7
歸,7
俟,6
其,6
奏,6
及,6
為,6
人,6
欲,6
妻子,6
第巴,5
阿,5
喇,5
布坦,5
即,5
副,5
仍,5
哈什,5
臣,5
博什,5
沽,5
請,5
內,5
有,5
達賴,4
十五,4
喀,4
妄,4
特呼,4
里克,4
皆,4
都,4
統,4
阿南,4
下,4
向,4
議政,4
無,4
台吉,4
不知,4
保住,4
忒,4
曾,4
遣,4
往,4
此,4
所,4
進兵,4
到,4
後,4
及其,4
坐,4
也,4
扎卜之母,4
大兵,4
前,4
伊,4
攜,4
可,4
中,3
和,3
他,3
既,3
遵旨,3
達,3
書,3
青海,3
修,3
器械,3
從,3
主事,3
哈密,3
家人,3
帶,3
駝,3
之兵,3
并,3
希等,3
格壘,3
同行,3
扎,3
言,3
如,3
不降,3
拉古,3
克三,3
故,3
中華,3
豈,3
若,3
旨,3
白塔,3
隻,3
水手,3
大,2
密奏,2
小達賴,2
今年,2
年,2
歲,2
十月,2
二十五日,2
出定,2
喀爾,2
齎,2
處,2
彼,2
不能,2
復,2
諸人,2
亶,2
第巴遣,2
正月,2
盟會,2
約,2
之時,2
誑,2
駐,2
解送,2
厄魯特,2
津巴,2
步行,2
時噶爾丹,2
格格,2
哈郎古,2
之外,2
歸來,2
思噶爾丹,2
謨,2
出,2
孫思克,2
竭力,2
効,2
降,2
扎卜,2
其他,2
二次,2
賜,2
王化行,2
官兵,2
格壘沽英,2
十三口,2
驛,2
云,2
次日,2
綽什希巴,2
圖爾來,2
相見,2
聖上,2
而已,2
之旨,2
今,2
另,2
途遇,2
自京,2
前去,2
達爾扎,2
哈之,2
被劫,2
卜,2
交,2
對,2
隨駕,2
默然,2
待,2
盡,2
甚,2
降之意,2
遣使,2
者,2
生路,2
寵榮,2
降則,2
自,2
駱駝,2
等到,2
或,2
檄,2
藩院,2
