한자단어,빈도
皇后,5
於,5
升,3
祔,3
朕,3
五月,2
太廟,2
上,2
恭,2
天下,2
皇妣,2
孝康,2
慈和,2
莊懿恭惠,2
崇天育,2
社稷,2
丙辰,1
朔孝康章,1
具禮服,1
捧,1
孝康章,1
神牌,1
奉安,1
世祖,1
章,1
皇帝,1
神位,1
之右致,1
祭行,1
禮畢,1
頒詔,1
詔曰,1
維,1
自古,1
帝王,1
以孝治,1
莫不,1
顯揚,1
母德,1
追崇,1
配享,1
以為紹,1
先,1
啟後之本,1
纘,1
承丕緒,1
九載,1
茲,1
惟,1
我,1
聖,1
光贊,1
皇考,1
成締造,1
之,1
豐功,1
誕育,1
眇,1
躬,1
啟昌隆,1
之景,1
運徽音,1
遠播,1
厚德,1
弘施,1
廟,1
祀,1
未,1
崇,1
懷罔極,1
是,1
用,1
稽,1
前典,1
下協,1
與,1
情祗,1
告,1
天地,1
宗廟,1
康熙,1
九年,1
初一,1
日率,1
諸王,1
貝勒,1
文武,1
群臣,1
恭奉,1
冊寶,1
加上,1
尊,1
諡,1
曰,1
聖章,1
太,1
廟鴻儀,1
既,1
舉恩赦,1
宜弘,1
於戲,1
孝思,1
維則,1
隆侑饗,1
千秋,1
純嘏,1
永膺,1
合歡心,1
萬國,1
布告,1
中外,1
咸使,1
聞知,1
詔內恩款,1
二十,1
條,1
乙卯,1
以孝康章,1
遣,1
官告,1
祭天,1
地太廟,1
諭,1
吏部,1
選拔,1
庶常,1
原以,1
作養,1
人才,1
今科,1
進士,1
特加,1
簡閱,1
取中,1
李光地,1
耿願,1
魯陳琛,1
李錄,1
予王,1
寬,1
王,1
掞,1
黃,1
斐,1
孟亮,1
揆,1
陳,1
夢,1
雷趙文,1
煚,1
高璜,1
王維珍,1
許孫荃,1
祖文謨,1
李阜,1
朱典,1
李振裕,1
吳本立,1
劉恒祥,1
張鵬翮,1
孔興,1
釪,1
德赫勒,1
牛紐,1
李,1
玠,1
博濟,1
李夢庚,1
沈獨立,1
等,1
二十七,1
員俱著,1
改為,1
庶,1
吉士,1
教習,1
滿書以,1
原任,1
雲,1
南巡,1
撫,1
袁,1
懋功,1
為山東,1
巡撫,1
丁巳,1
上詣,1
太皇太后,1
皇太后,1
宮,1
問安,1
위기,0
