한자단어,빈도
為,4
等,3
講官,3
諭,2
使,2
其,2
之,2
遣,2
來,2
有,2
或,2
在,2
事,2
於,2
靳輔,2
係,2
俱,2
陞,2
學士,2
詹事,2
八月,1
庚子,1
朔上,1
大學士,1
近觀,1
厄魯特噶爾丹,1
博碩克,1
圖來,1
較,1
前漸,1
多,1
每,1
一次,1
常至,1
數百人聞,1
沿途,1
遇邊,1
外遊牧,1
蒙古,1
肆行,1
擾害,1
外國,1
人若行,1
痛懲,1
又,1
恐失,1
柔遠,1
意彼處,1
人員當,1
定數,1
不可,1
聽,1
其意,1
多寡,1
嗣後正,1
使頭目,1
酌量,1
數人令,1
進關口,1
其餘人,1
令,1
張家口,1
外,1
歸化城,1
交易,1
畢應,1
即,1
回,1
此事,1
著議,1
政王,1
大臣,1
會同,1
確議,1
具奏,1
朕,1
每旦,1
未明求衣,1
坐待,1
部院,1
奏事奏,1
既,1
畢然後入講,1
不惟,1
遲延晷,1
刻,1
亦且,1
稽,1
悞,1
工夫,1
自,1
後,1
未,1
啟奏,1
前進,1
講方得,1
從,1
容議論,1
多所,1
發明,1
自是,1
待,1
漏,1
宮門甫,1
辨色,1
上,1
已,1
御,1
講筵,1
矣,1
二等,1
精奇,1
尼哈番,1
畢,1
力克,1
軍機革,1
職以,1
其子,1
南第襲,1
替予,1
故滿洲,1
副,1
都,1
統覺羅席,1
布永興,1
陣亡護,1
軍參,1
領色,1
黑,1
各,1
祭葬,1
如例,1
己亥,1
工部,1
議覆,1
總河,1
大修,1
清,1
水潭,1
蕭家渡,1
口,1
并,1
歲,1
修,1
工程,1
共,1
二十八,1
本奏銷,1
錢,1
糧上,1
曰,1
河道,1
關,1
國計,1
民生,1
最為,1
緊要,1
前見,1
人,1
似乎,1
輕躁,1
恐其,1
難以,1
成功,1
今聞,1
河流,1
得,1
歸,1
故道,1
深為,1
可喜,1
以後宜加,1
嚴毖勿致,1
疏防方,1
盡善,1
各本,1
依議,1
左,1
都督,1
管副將,1
王珍,1
雲南鶴麗,1
總兵,1
官,1
翁牛特,1
多羅達爾漢貝勒,1
搜色,1
吳喇忒鎮國,1
公諾門,1
故,1
各遣,1
官致,1
祭,1
辛丑,1
上詣,1
太皇太后,1
宮,1
問安諭,1
經筵,1
等經,1
筵關,1
大典,1
自大,1
以下,1
九卿,1
科道,1
侍班,1
所,1
講之書必,1
君臣,1
交,1
儆,1
上下,1
相,1
成方,1
禆,1
治理,1
向,1
進,1
講俱切,1
君身,1
此後當,1
兼,1
寓訓,1
勉臣,1
下,1
之意,1
庶,1
諸臣,1
皆,1
有所,1
警省,1
詹事府,1
圖納為,1
內閣,1
兼禮部,1
侍郎,1
위기,0
