한자단어,빈도
萬,6
等,4
文武,3
及,3
大清,2
聖祖合,2
天弘運,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
二百,2
上詣,2
貝勒貝子,2
大臣,2
大學士,2
皇太后,2
節婦,2
人,2
二千,2
九百,2
七百,2
兩有,2
六百,2
四百,2
之,1
十一,1
康熙,1
四十二年,1
癸未,1
春,1
正月,1
丁未,1
朔,1
堂子,1
行禮,1
還宮,1
拜神,1
畢率,1
諸王,1
公內,1
侍衛等詣,1
宮行,1
禮御殿,1
王,1
以下,1
各官外,1
藩王,1
使臣,1
上表,1
朝賀,1
停止,1
筵宴,1
朝鮮國王,1
李,1
焞,1
遣,1
陪臣,1
李桓,1
表賀,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
丙午,1
賜,1
朝,1
正,1
外藩,1
烏朱穆,1
秦科爾沁,1
阿霸,1
垓,1
蒿,1
齊,1
忒,1
扎魯特,1
毛明安蘇,1
尼特,1
喀爾,1
喀,1
鄂爾,1
多斯,1
喀喇沁,1
敖漢王,1
公,1
台吉,1
內,1
侍衛,1
宴,1
旌表,1
八旗,1
滿洲,1
薩哈連妻,1
傅氏,1
二十七,1
蒙古,1
雅爾幾岱,1
妻爾氏,1
一人漢,1
軍,1
佟騰雲妻,1
趙,1
氏,1
一人,1
直隸,1
各省,1
夏光,1
湘妻,1
蕭氏,1
二十二,1
各給,1
銀建坊,1
如例,1
是,1
歲,1
人丁,1
戶口,1
四十一,1
一千三百,1
八十,1
田地,1
山,1
蕩,1
畦,1
地,1
五百,1
九十八,1
六千,1
九十三,1
頃,1
六十三,1
畝有,1
奇徵銀,1
三十九,1
六百六十,1
九,1
奇米,1
豆麥,1
九十六,1
八千,1
七十三,1
石有,1
奇草,1
八萬,1
一千六百,1
八十八,1
束茶,1
十五,1
七千四百,1
七十六,1
引行,1
鹽,1
三十一,1
九千,1
七十五,1
引徵課,1
銀,1
二百六十,1
九萬,1
一十八,1
奇鑄,1
錢二萬,1
三千八百,1
六萬,1
五千,1
有奇,1
之二,1
百十,1
戊申,1
宮,1
問安,1
위기,0
