한자단어,빈도
等,7
尚善,4
岳州,4
軍,3
鳥船,3
和,2
簡親,2
疏言,2
抵,2
孫延齡,2
得,2
賊,2
又,2
沙船,2
官兵,2
入,2
湖務期,2
破賊,2
奏,2
請,2
赴,2
荊州,2
大臣,2
總兵,2
閏,1
三月,1
辛丑,1
朔揚,1
威大將,1
碩,1
王喇布,1
理事,1
官麻勒吉,1
吉安,1
稱,1
為,1
吳三桂,1
所,1
殺馬雄,1
病死,1
旨馬雄,1
雖死,1
其餘黨,1
尚踞,1
粵西,1
麻勒吉,1
仍,1
同,1
王,1
偕行,1
以,1
朕,1
赦罪,1
論功,1
之意,1
槩,1
行曉示,1
其,1
被,1
脅,1
從,1
之,1
人,1
有,1
悔罪,1
投誠者,1
即行,1
招撫,1
庚子,1
滿月致,1
祭大行,1
皇后,1
上回,1
宮安遠,1
靖寇大,1
將軍貝勒,1
原有,1
奉旨,1
添造,1
一百,1
艘,1
四百,1
三十八艘,1
自陸路,1
分布,1
外餘,1
配入,1
兵數,1
不敷須,1
再,1
調綠旗,1
兵,1
五千,1
人臣,1
等茲役,1
旨,1
公溫,1
齊,1
率,1
往,1
所調,1
陜,1
西滿漢兵,1
以及,1
船數,1
乃,1
所備,1
知宜,1
早為,1
通計,1
如有,1
不足,1
預當,1
今,1
各路,1
調之兵,1
俱,1
船艦,1
營造,1
已,1
完乃始,1
增兵,1
殊屬,1
不合,1
但,1
既,1
稱茲役,1
其令,1
蔡毓榮率,1
標兵,1
三千,1
并,1
隨征,1
綠旗兵,1
二千,1
馳,1
與,1
協力,1
擊破,1
湖賊,1
攻取,1
如,1
彝陵,1
防禦兵,1
少大將,1
軍順,1
承郡王,1
參贊,1
總督,1
蔡毓榮,1
公同,1
酌調,1
附近,1
綠旗,1
兵遣,1
發汛,1
守,1
壬寅,1
定遠,1
平寇,1
大將,1
碩安親,1
王岳樂,1
疏報,1
偏,1
沅,1
巡撫,1
韓世琦招,1
撫偽,1
揭玉慶,1
一百二十,1
三員,1
兵丁,1
一千,1
餘名,1
都,1
統覺羅畫,1
特率,1
領滿漢,1
進剿,1
馬,1
棚,1
邱義尚,1
於,1
七家,1
洞,1
處,1
地方,1
擒,1
斬,1
無算,1
招撫偽,1
朱永升,1
下部,1
議敘予,1
故,1
三等,1
精奇,1
尼哈番,1
散,1
秩,1
奇,1
塔特,1
祭葬,1
如例,1
위기,0
