한자단어,빈도
等,6
之,4
從,4
該,4
朕,3
去年,3
交白卷,3
部題,3
者,3
拏,3
與,3
管,2
臣,2
人,2
未,2
寬,2
處,2
俟,2
其,2
及,2
著令,2
學習,2
仍,2
陪臣,2
鄭載嵩,2
奸民,2
韓得,2
完,2
一案,2
皇上,2
有,2
鄭載,2
國王,2
康熙,1
二十五年,1
丙寅,1
閏,1
四月,1
甲寅,1
朔以,1
禮部,1
左侍郎,1
翰林院,1
掌院,1
學士事,1
庫勒納,1
充日講,1
起居注,1
官,1
癸丑,1
諭,1
吏部,1
國家,1
選用,1
工必,1
得,1
才,1
學通敏,1
畀,1
以職,1
任斯庶,1
官無曠,1
實得,1
用人,1
之益,1
見,1
漢軍官員,1
起家,1
多,1
由,1
捐納,1
事學,1
問者,1
少年,1
成材,1
便,1
涉仕版,1
並無素,1
抱,1
何以,1
蒞事,1
臨民,1
特行,1
考試,1
分別,1
去留,1
曾將,1
人員,1
姑免,1
分令,1
其學習,1
通曉文義該,1
明考,1
試錄,1
用,1
因,1
前,1
考較,1
情弊,1
多端,1
今特行,1
親試,1
荒陋,1
不堪,1
甚眾,1
不加,1
搜察,1
私藏,1
懷挾,1
自行,1
發露者,1
已交,1
刑部,1
問外,1
考列,1
一等,1
高璜,1
二三,1
四等,1
人員見,1
任者,1
仍照,1
舊供,1
職候,1
補者,1
照常,1
補用,1
王撫民,1
文理不通,1
及書,1
寫,1
履歷,1
股,1
俱,1
著以,1
原品,1
隨旗,1
行走,1
今,1
考置,1
五等,1
顯圖,1
僥,1
倖,1
著察議,1
具奏,1
王,1
樑,1
居官,1
有聲,1
准候,1
補難,1
廕,1
生馬,1
世永王琨,1
王鎬,1
胡枚念,1
伊父,1
盡節,1
可憫,1
通曉文義之日,1
請,1
錄用,1
胡枚,1
交,1
衙門,1
另行,1
請旨,1
程萬坦,1
曾,1
効,1
力行,1
間,1
著,1
以旗,1
內,1
武職,1
補用爾部,1
即,1
遵諭,1
行禮,1
頃朝,1
鮮國,1
以察議,1
為,1
伊國,1
王辨,1
冤具,1
呈,1
部臣,1
查朝,1
鮮僻,1
東服,1
蕞,1
爾,1
一隅,1
當念,1
累朝興,1
復,1
殊恩撫,1
循,1
至德,1
恪守,1
藩翰,1
庶免,1
隕越,1
顧其君,1
懦弱,1
其臣,1
恣肆,1
積有,1
重愆,1
應加,1
嚴治,1
憫,1
其狂,1
愚悉,1
矜,1
宥,1
更,1
違禁,1
採參,1
擅放鳥,1
鎗,1
殺傷,1
官役,1
始遣,1
大臣,1
嚴訊,1
猶念,1
小民,1
犯法,1
其主,1
或,1
知僅,1
以約束,1
不,1
嚴罰,1
鍰,1
示警,1
乃,1
嵩妄為,1
其主求,1
無禮,1
已,1
甚臣,1
詳閱,1
情詞,1
指摘,1
謬戾,1
不止,1
一端,1
濫引,1
經史,1
尤多,1
狂悖,1
果有,1
冤,1
抑該,1
王分屬,1
外臣,1
應,1
上章,1
自明,1
乞哀,1
祈請,1
豈,1
么,1
麼,1
卑賤,1
不告,1
其君,1
而,1
輕,1
弄,1
筆端,1
橫開,1
禍始法,1
在,1
有司,1
必無可赦,1
相應將,1
嚴,1
發,1
從重,1
治罪,1
并將,1
此情,1
一一,1
傳,1
知悉,1
得旨,1
嵩等免,1
其嚴,1
餘,1
依議,1
吳喇忒鎮國,1
公穆察,1
輔國,1
公達爾瑪,1
故俱遣,1
官致,1
祭,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
一百二十五,1
乙卯,1
上詣,1
太皇太后,1
宮,1
問安,1
위기,0
