한자단어,빈도
等,12
請,4
於,4
或,4
有,4
與,3
湖南,3
軍,3
而,3
在,3
可,3
之,3
所,3
學士,2
為,2
內閣,2
衙門,2
上,2
王將,2
總督,2
提督,2
賊,2
至,2
今方,2
諭,2
地方,2
巡撫,2
又,2
赴,2
從,2
上詣,2
太皇太后,2
九卿,2
不,2
他,2
會議,2
不肯,2
豈,2
及,2
見,2
司官,2
撤,2
辰溪,2
鄂內,2
康熙,1
十八年,1
己未,1
十一月,1
壬辰,1
朔以,1
原任,1
翰林院,1
掌院,1
徐元文,1
兼禮部,1
侍郎,1
諭大學士,1
翰林,1
官,1
不妨,1
互為,1
調用,1
其行,1
坐處,1
照進,1
先後以定,1
次第,1
陞,1
大理寺,1
少卿,1
張雲翼,1
太僕寺,1
卿,1
先是,1
特遣,1
大臣,1
往廣西,1
陜,1
西令,1
詳議,1
剿滅,1
寇,1
事宜,1
具奏,1
是,1
金光,1
祖疏言,1
自粵西,1
進取,1
雲貴,1
雲貴督撫,1
俱見,1
諸臣,1
中酌,1
分,1
一二,1
來粵以,1
資彈,1
壓上,1
雲,1
南巡,1
撫,1
李天浴,1
前往,1
廣西同,1
進剿,1
并,1
撫定,1
新,1
復,1
戶部議,1
覆,1
湖廣,1
張朝珍,1
疏言,1
本省,1
起運,1
需米豆,1
草束,1
路,1
經長,1
江及灘,1
高水急,1
地,1
有實,1
漂,1
沒者,1
應取,1
有司,1
官印,1
結准,1
其,1
豁免,1
各省,1
派養,1
之馬,1
瘦,1
病倒,1
斃難,1
賠補,1
開馬禁,1
許賣,1
馬,1
人,1
將馬數,1
呈明,1
兵部,1
頒給部,1
單准,1
某,1
貿易,1
以便,1
購買,1
補足應,1
如,1
辛卯,1
宮,1
問安諭,1
詹事,1
科道,1
曰,1
邇,1
來,1
諸事爾,1
全,1
擔當,1
遇事,1
有疑,1
難,1
即,1
以,1
未經,1
聞,1
不同,1
啟奏,1
或托言,1
事及,1
病,1
部辦,1
事,1
推諉,1
列名,1
過卸,1
司屬,1
意圖,1
僥,1
倖,1
若果,1
應,1
坐罪,1
推卸,1
便,1
可脫,1
免乎,1
臨事,1
全無一語,1
既,1
退,1
之後輒,1
云,1
我,1
曾,1
如此,1
立論,1
某官,1
朝廷,1
不曾,1
俞允,1
此,1
臣子,1
靖共之道乎,1
部院,1
亦,1
多,1
偷安,1
廢弛,1
各堂,1
官宜將,1
此等,1
指名,1
題參,1
處,1
規避者,1
著,1
都察院,1
科道官,1
糾參嗣後爾,1
當直,1
攄,1
陳,1
奏,1
審酌,1
可否,1
自在,1
朕,1
爾,1
勉之免,1
山西,1
遼州本,1
年,1
分雹,1
災額,1
賦有,1
差,1
癸巳,1
宮問,1
安命,1
安徽,1
徐國,1
相親,1
往,1
盱眙,1
滁州,1
五州縣,1
賑,1
濟,1
饑,1
民安,1
遠,1
靖寇大,1
將軍多羅貝勒察尼疏,1
大兵,1
令都統,1
率,1
還京師,1
每佐,1
領兵,1
還六人,1
熟諳,1
軍務,1
其留,1
軍前,1
更擇,1
以次,1
人員令,1
率兵,1
還京,1
加意,1
固守,1
貝勒察尼,1
對,1
壘,1
撤之兵,1
雖少,1
諸處,1
初定,1
投,1
誠,1
官兵,1
甚多恐,1
乘此,1
撤兵,1
之際,1
虞察尼,1
宜密加,1
防守,1
每事,1
相機,1
詳慮,1
而行,1
위기,0
