한자단어,빈도
賊,8
等,8
岳州,8
於,7
至,7
又,5
諭,5
兵,5
江西,5
之,3
下部,3
議敘,3
占,3
先是,3
奏,3
是,3
平凉,3
皆,3
五百,3
都,3
我,3
俟,3
戰船,3
尚善,3
上,3
縣,2
襄陽,2
總兵,2
官,2
陜,2
西,2
報遊擊,2
敗,2
兵部,2
係,2
保寧,2
失散,2
前鋒護,2
軍,2
檄,2
哈,2
無,2
將,2
本月,2
進兵,2
被,2
以兵,2
副,2
與,2
亦,2
雖,2
分,2
臣,2
請,2
駐,2
官兵,2
巡撫,2
復,2
得,2
漂失,2
軍貝勒,2
嚴飭,2
防護,2
沙唬,2
船,2
隻,2
修船,2
物料,2
停泊,2
荊州,2
承郡王,2
勒爾錦,2
王岳樂,2
遣,2
彝陵,2
相機,2
渡江,2
參贊,2
大臣,2
今,2
朕,2
三月,1
己未,1
朔湖,1
廣總督,1
蔡毓榮,1
疏報,1
叛逆,1
楊來,1
嘉犯,1
南漳,1
劉成,1
龍擊敗,1
斬,1
偽,1
都司,1
陳,1
國俊焚,1
屯,1
糧逆眾,1
盡,1
遁,1
總督哈,1
疏,1
田有,1
禾,1
郃,1
陽之華村,1
邵一仁擊,1
敗川賊,1
興安鎮屬,1
紫陽路,1
戊午,1
情形,1
邇,1
來,1
如何,1
鎮守,1
潼關,1
滿兵,1
誰,1
統領,1
兵數,1
幾何,1
曾否,1
抵漢,1
中爾部速,1
一,1
一具,1
遵旨,1
覆奏,1
回來,1
軍絕,1
蹤,1
跡,1
阿,1
密,1
達,1
十四日,1
聞賊,1
將犯,1
涇州,1
約計,1
賊眾,1
四千,1
餘能,1
戰止,1
千人餘,1
平民,1
脅,1
制者,1
今貝勒,1
董額,1
十九日,1
秦州,1
聞,1
吳三桂以,1
銀,1
二十,1
萬兩付,1
叛臣,1
巴三綱,1
散給,1
王輔臣,1
及,1
經略,1
標兵,1
以,1
誘引,1
夸蘭大拜,1
音查,1
莽奕祿,1
守潼,1
關署,1
統阿爾瑚,1
守寶雞,1
統顏布帥,1
前往,1
鳳縣,1
因棧,1
道,1
已,1
為,1
據,1
將軍坤,1
巴圖,1
魯侍衛,1
暫,1
駐寶雞,1
三水,1
淳化,1
白水,1
蒲城,1
韓城,1
諸縣,1
土寇,1
蜂起,1
掠,1
刦,1
鄉,1
村,1
勢,1
然,1
渠魁,1
既殄小醜,1
自當,1
瓦解,1
無足慮,1
者,1
令,1
蒙古,1
兵由寧夏進,1
固原,1
指稱,1
進攻,1
蘭州,1
實疑,1
寧夏延,1
綏,1
也,1
今下,1
馬,1
關靖,1
遠營,1
心懷叵測,1
偵探,1
確實,1
再,1
奏疏,1
入,1
報聞,1
白色,1
純疏,1
報南,1
贛,1
劉進,1
寶遣,1
兵敗,1
黃,1
土關,1
橫嶺,1
進,1
龍泉,1
旨嘉獎,1
庚申,1
上詣,1
太皇太后,1
宮,1
問安,1
遇風,1
曰,1
經由長,1
江大將,1
應,1
所司,1
加意,1
乃,1
怠忽,1
反為,1
資嗣後戰船,1
往返,1
須以纜,1
引遇,1
風則泊,1
倍加,1
小心,1
爾部,1
其速,1
知至,1
風壞,1
五十,1
餘,1
沉,1
沒戰船,1
四,1
敕,1
撫臣,1
速發,1
行兵,1
急需,1
關,1
重大,1
侍郎,1
納布,1
張朝珍,1
等速,1
委賢能,1
官員送,1
亟行,1
修理,1
兩次,1
風,1
如果,1
所風,1
豈,1
能,1
壞,1
其,1
大將,1
等務擇,1
地,1
善為,1
貝勒察尼請,1
每佐,1
領兵,1
二名,1
發安親,1
王軍前,1
協定,1
規取,1
長,1
沙,1
湘潭,1
會,1
將軍,1
三路,1
並進,1
命順,1
公同,1
速議,1
并,1
令安親,1
參酌,1
具奏,1
安親,1
兵來則,1
進剿,1
力厚,1
即守,1
亦屬,1
有益,1
自,1
發兵,1
正值,1
溽暑,1
霪雨,1
王進,1
剿,1
之期,1
恐,1
及其,1
停止,1
發順,1
奏臣,1
商之貝勒,1
據云,1
已經,1
停遣,1
欲,1
每佐領,1
三名,1
令貝勒察尼,1
統巴爾布率,1
赴,1
荊州臣,1
此兵,1
到,1
日,1
即,1
從,1
以下,1
石首,1
以上,1
上諭,1
王及,1
身在,1
地方,1
具陳機,1
宜固,1
當如議,1
但,1
入川,1
大兵,1
見以,1
糧餉,1
不繼退,1
西安,1
之後萬,1
一川,1
乘,1
桴,1
東下,1
侵犯,1
茅麓,1
山賊,1
出,1
諸處則,1
軍必,1
卻,1
顧難,1
以長,1
驅王,1
貝勒,1
懿親,1
股肱,1
相持,1
可行,1
則進,1
倘有,1
可虞寧,1
秋冬,1
進取,1
위기,0
