한자단어,빈도
總兵,6
官,5
援剿,4
提督,3
剿,3
康熙,2
右侍郎,2
山西,2
山東援,2
總督,2
參領,2
為,2
逆,2
賊,2
和,2
之,2
十三年,1
甲寅,1
冬,1
十月,1
辛卯,1
朔享,1
太廟,1
遣,1
輔國,1
公葉伯舒行,1
禮遣,1
祭,1
永陵,1
福陵,1
昭陵,1
孝陵仁,1
孝,1
皇后,1
頒,1
十四年,1
時憲,1
曆,1
以,1
吏部,1
陳,1
一炳為,1
戶部,1
周卜世為,1
原,1
任,1
浙江,1
劉兆麒為,1
直隸援,1
周卜年,1
阿思哈,1
尼哈番,1
鮑敬為,1
河南,1
官原,1
任廣東,1
海豐,1
佟國璽,1
官參,1
領伯石,1
文炳為,1
直隸,1
庚寅,1
江西,1
董,1
衞,1
國,1
疏,1
報,1
侵犯,1
興國,1
劉進,1
寶調,1
屯墾,1
都督,1
許貞,1
等,1
率兵,1
救援,1
大破賊眾,1
又,1
曾,1
若,1
千,1
復,1
犯,1
石城,1
署中,1
軍事管,1
天祥,1
等同,1
署縣,1
事,1
李德明,1
等率,1
領兵民奮,1
勇會擊,1
大敗,1
賊眾,1
下部,1
議敘,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
四十九,1
壬辰,1
上御,1
太和殿,1
遣揚,1
威大將,1
軍,1
碩,1
簡親,1
王喇布,1
帥師,1
之江,1
寧賜,1
敕,1
印上詣,1
堂子,1
行禮,1
祭旗,1
纛,1
還出,1
西長,1
安門,1
送,1
之行,1
위기,0
