한자단어,빈도
之,4
松江,4
提督,3
朕,3
日,2
諭,2
張雲翼,2
擐,2
明日,2
啟行,2
於,2
也,2
再,2
得,2
等,2
訓練,2
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
二百,1
二十,1
康熙,1
四十四年,1
乙酉,1
夏,1
四月,1
甲子,1
朔享,1
太廟,1
遣領,1
侍衛內,1
大臣,1
公坡爾盆行,1
禮上,1
登舟,1
自,1
府,1
啟行泊,1
嘉興府,1
是,1
上臨,1
浙境,1
合省,1
黎庶,1
沿河,1
跪迎,1
聖,1
駕並,1
叩謝,1
蠲賦,1
洪恩,1
癸亥,1
曰,1
若,1
天氣,1
晴朗,1
尚可,1
閱爾軍容,1
今久,1
陰,1
後,1
倘,1
甲時,1
遇雨,1
則甲冑,1
器械,1
俱,1
銹,1
澁,1
矣,1
因此,1
中止,1
時軍士,1
不必,1
甲皆令,1
以,1
常服,1
列,1
路旁,1
可,1
及,1
文武官,1
員紳,1
衿,1
軍民,1
叩籲,1
皇上,1
垂念,1
輿情,1
留數,1
旨,1
路途,1
既遠,1
時亦漸,1
熱因,1
軫,1
念爾,1
故,1
今日,1
不即,1
必行,1
勿,1
奏,1
提標,1
副將,1
俞章,1
言,1
等爾眾,1
武臣,1
當不時,1
兵丁,1
教之,1
騎射,1
倘安,1
怠忽,1
不加,1
不惟,1
不,1
貸爾,1
即爾,1
亦,1
不貸,1
可謹誌,1
毋,1
忽,1
乙丑,1
御舟泊,1
雙橋,1
위기,0
