한자단어,빈도
朕,6
兵丁,5
曰,3
亦,3
有,3
令,3
懸,3
郎中,3
之,3
總督,2
行,2
皆,2
匾額,2
祠堂,2
匾額令,2
陳,2
汝弼,2
上,2
吉林,2
無,2
閏,1
四月,1
甲午,1
朔上,1
自,1
江天,1
寺,1
登舟,1
渡江,1
駐蹕,1
寶塔灣命,1
戶部,1
尚書,1
徐潮,1
江南,1
江西,1
阿山,1
察,1
審革,1
職山安,1
同知,1
佟世祿,1
復,1
叩,1
閽,1
告,1
河道,1
張鵬翮,1
一案,1
癸巳,1
諭,1
京口,1
將軍,1
一等,1
侯馬三奇,1
天下,1
之兵,1
知悉,1
至此,1
處之兵,1
素稱,1
無敵,1
所聞練兵,1
之法,1
一進,1
一退,1
緩有,1
急,1
自始,1
至終,1
整肅,1
敘方為,1
盡善爾,1
等,1
簡練素,1
精,1
不必,1
閱視,1
可傳,1
諭眾,1
知之御,1
書理,1
明太極,1
周敦,1
頤,1
忠節,1
不磨,1
懸陸秀夫,1
寶晉,1
遺,1
蹤,1
匾,1
額,1
米芾,1
海,1
嶽,1
菴,1
山高水,1
長,1
焦先,1
祠忠,1
藎,1
永昭,1
懸宗澤廟,1
乙未,1
以故,1
多羅貝勒諾尼之子,1
諾音,1
托和襲,1
封鎮,1
國公,1
刑部,1
題原,1
任吏部,1
原任,1
溫處,1
道,1
黃,1
鍾,1
行賄,1
作弊,1
俱擬,1
絞,1
監候,1
人,1
有薦,1
之賢能,1
者,1
故,1
簡於眾,1
內特授,1
選司,1
宜,1
持身,1
廉潔,1
奉,1
職敬慎,1
而,1
反侵,1
逼堂,1
官,1
凌辱,1
同輩,1
凡事,1
專擅,1
率意,1
恣行,1
驕縱,1
狂妄,1
已極負,1
眷待,1
之恩有,1
玷擢,1
舉之意,1
如受,1
賄是,1
實應,1
即,1
置,1
於,1
法以,1
為,1
眾戒,1
若,1
未,1
經受,1
賄則,1
彼無罪,1
應,1
寬,1
著議政,1
大臣,1
九卿,1
詹事,1
科道,1
會同,1
再行,1
嚴加確,1
審定擬,1
具奏,1
烏喇將,1
軍,1
宗室,1
楊福疏,1
請,1
烏喇白,1
都,1
納等,1
處動,1
支庫,1
銀買馬給,1
牧養,1
此事,1
不准,1
屢,1
以太,1
僕寺,1
廠馬並,1
茶馬賞,1
給京師,1
及,1
各處,1
駐防,1
所以,1
賠馬,1
之苦,1
歷觀,1
宋明之,1
時議,1
馬,1
政者,1
善策,1
牧馬,1
惟口,1
外為,1
最善,1
今口,1
外馬廠,1
孳生,1
已及,1
十萬牛,1
六萬羊,1
至,1
二十,1
餘萬若將,1
如,1
許馬,1
與,1
牛羊,1
驅至,1
內,1
地牧養,1
即日,1
費萬金,1
不足,1
口,1
外,1
水草,1
肥美,1
不費,1
餉,1
而馬畜,1
自然,1
孳息,1
前,1
巡行,1
塞外,1
時見,1
牲畜,1
彌滿,1
山谷,1
間,1
歷行,1
八日,1
猶絡繹,1
不絕,1
也,1
위기,0
