한자단어,빈도
等,9
賊,9
臣,6
之,5
兵,5
和,4
地方,4
人,4
喀,4
喇,4
疏報,3
見,3
前往,3
楞,3
厄魯特賊,3
台吉,3
在,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
二百八十,2
倫特,2
七月,2
里克,2
遣,2
率兵,2
與,2
已,2
多,2
而,2
少,2
追,2
被,2
由,2
烏蘇,2
統兵,2
殺,2
兵丁,2
到,2
從,2
優議,2
敘,2
侍衛色,2
至,2
博音馬松,2
額倫特,2
得,2
我,2
一,1
康熙,1
五十七年,1
戊戌,1
閏,1
八月,1
丙午,1
朔,1
總督額,1
十六日,1
自門,1
贊西,1
起程,1
至齊諾,1
郭爾,1
安營,1
十七日,1
四,1
更,1
時,1
分賊,1
兵衝,1
逼,1
營盤,1
即,1
遊擊,1
王汝載,1
進擊,1
眾大敗,1
又,1
自東,1
自南齊,1
進臣,1
親統,1
弁,1
對,1
敵,1
鎗,1
礮,1
並發,1
自寅至,1
敗,1
下,1
山坡,1
追擊,1
十餘里,1
官兵,1
四面山,1
溝俱有,1
可通,1
之路,1
恐有,1
埋伏,1
未曾,1
窮,1
所,1
獲,1
傷一賊,1
訊,1
稱,1
酋托布齊,1
杜喀兒,1
二人,1
四千,1
河西,1
小路,1
而來,1
既移,1
咨公策,1
旺諾爾布,1
速來,1
接應臣,1
仍,1
相度,1
機宜,1
渡過,1
狼臘嶺,1
若,1
色,1
相遇,1
則會兵,1
前進,1
倘不相值,1
再,1
隨機,1
行得,1
旨據,1
奏大敗,1
兵傷,1
甚,1
語額,1
率領,1
頗,1
直抵,1
從古未,1
絕域,1
奮勇,1
直前,1
建立,1
膚功殊,1
非,1
尋常軍功,1
可比,1
今賞,1
賚,1
軍,1
前人,1
等家屬,1
外事,1
定後著,1
唐古特,1
原,1
係,1
達賴,1
喇嘛,1
所屬,1
自,1
去年,1
眾奪,1
其,1
牲畜,1
擄其婦,1
女擾害,1
難堪,1
是,1
以,1
晝夜,1
懸望,1
大兵,1
救援,1
一聞,1
大軍前,1
莫不,1
歡躍投誠為,1
首,1
卓,1
圖之子,1
丹津,1
綽音,1
達克,1
率,1
眾來,1
降,1
但,1
未知,1
何路,1
進兵,1
因將,1
新,1
滿洲,1
侍衛諾里爾達,1
派出,1
令,1
投誠之沙克,1
扎寨,1
桑為,1
嚮,1
導,1
偵探,1
信息,1
今,1
回,1
文臣,1
烏蘇候,1
伊來,1
合兵,1
一處,1
前,1
進達穆,1
下所司,1
知,1
乙巳,1
秋分,1
夕,1
月,1
於,1
西郊,1
都察院,1
左,1
都御史,1
黨,1
阿賴行,1
禮上,1
駐蹕,1
烏喇岱,1
丁未,1
二十日,1
烏蘇安營,1
二十一日,1
隨據,1
新降,1
報稱,1
伊,1
勒索,1
口,1
糧謀擊,1
兵臣,1
即率,1
領滿洲,1
綠旗,1
分列,1
三隊,1
截殺,1
眾衝,1
抵,1
師分,1
道,1
夾擊,1
連敗,1
之奪,1
其三,1
處,1
山梁,1
竄,1
走臣,1
隨統,1
二十里,1
斬戮,1
二百,1
餘人受,1
傷者,1
甚眾,1
旨,1
該部,1
烏,1
朱穆秦,1
碩車,1
臣親,1
王色,1
登敦,1
多卜,1
科爾沁,1
碩額,1
駙多爾濟,1
來,1
朝,1
위기,0
