한자단어,빈도
之,6
從,3
妄,3
阿,3
喇,3
布坦,3
董,3
大成,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
二百六十,2
按察使,2
應,2
等,2
兵部,2
在,2
及,2
請,2
邊界,2
與,2
侵擾,2
哈密,2
朕,2
其,2
為,2
劉蔭樞,2
具奏,2
阿南,2
至噶斯口,2
使,2
八,1
康熙,1
五十五年,1
丙申,1
閏,1
三月,1
辛酉,1
朔,1
上詣,1
皇太后,1
宮,1
問安,1
吏部,1
題雲南,1
布政使,1
盧詢,1
前任,1
江蘇,1
時,1
失察,1
得麟,1
家人,1
多太潛住,1
上海,1
於,1
任內,1
降二級,1
調用,1
議政,1
大臣,1
奏,1
據,1
尚書,1
殷特布,1
疏稱,1
張家口,1
歸化城,1
處共買,1
駱駝,1
六千,1
餘,1
隻,1
送,1
至,1
宣化,1
大同,1
交與,1
都,1
統圖,1
思海,1
以備,1
運米,1
之用,1
戊午,1
九卿,1
等議,1
覆貴州,1
巡撫,1
劉蔭樞題,1
緩圖,1
北征,1
一疏查,1
劉蔭樞本,1
不知,1
兵且,1
遠,1
天末,1
未悉,1
情形,1
妄為,1
陳,1
應交,1
該,1
部議,1
處得,1
旨策,1
無知,1
蠢動,1
我,1
應發,1
大兵,1
即,1
行殄滅,1
但,1
好生,1
為念,1
不忍,1
驟加,1
剿除,1
因備,1
兵邊,1
地,1
遣使,1
宣諭,1
俟,1
悔罪自新,1
中外,1
生靈計,1
其萬全,1
措置,1
之際,1
必籌,1
前後慮,1
及久遠,1
防微,1
杜漸,1
始合,1
機宜,1
自策,1
以來,1
從容,1
大小,1
臣,1
工公同,1
商酌,1
辦理,1
軍務並,1
未嘗,1
有,1
逞,1
一己,1
怒形,1
諸聲色,1
統兵,1
親剿,1
之處,1
聽信,1
訛,1
傳邸,1
抄妄行,1
以,1
分清,1
便,1
可,1
畢事,1
如策,1
乘間,1
竊,1
發邊民能,1
保,1
不,1
受害,1
乎,1
尚未,1
衰邁著,1
乘,1
驛,1
前,1
赴,1
軍前,1
盡心,1
周閱,1
矢公,1
詳議,1
七,1
壬戌,1
題前,1
達奏稱,1
自邊界,1
一千七百,1
里,1
今鑾儀,1
奏稱,1
自嘉峪關,1
三千,1
餘里,1
誤信,1
協領,1
吳通,1
寶導引,1
不由,1
達所行,1
之路,1
繞,1
道,1
紆,1
行,1
以致,1
兵丁,1
勞苦馬匹,1
損傷,1
應將,1
革退,1
鑾儀,1
위기,0
