한자단어,빈도
兩,3
年,3
等,3
盛京,3
按察使,2
知州,2
王承勳,2
知府,2
蔣國正,2
勒索,2
布政使,2
希堯,2
銀,2
餘,2
民欠,2
錢,2
戶部,2
買,2
米,2
十二月,1
己亥,1
朔,1
丁酉,1
陞,1
直隸,1
通永道,1
張,1
安世,1
為,1
湖南,1
司,1
江南,1
江西,1
總督長,1
鼐,1
疏言鳳陽府,1
屬潁州,1
首告,1
鳳陽府,1
銀一萬,1
一千八百,1
安徽,1
五千,1
八百,1
又,1
康熙,1
五,1
十六七,1
蠲免,1
糧司府,1
鉤,1
通,1
捏造,1
冒,1
蠲,1
四千,1
請將,1
俱離,1
任質,1
審得,1
旨,1
著,1
兵部,1
右侍郎,1
田從典,1
都察院,1
左,1
副,1
都御史,1
屠沂,1
前往,1
審理,1
庚子,1
刑部,1
衙門議,1
覆差,1
往,1
審事,1
內閣,1
學士長,1
壽,1
疏言,1
理事,1
官,1
保德,1
題,1
參員外,1
郎庥爾賽,1
領銀四萬,1
七千,1
兩止,1
九千,1
石入,1
倉餘,1
剩銀,1
兩並,1
不,1
是,1
實應照,1
侵盜,1
糧例,1
將麻爾賽擬,1
斬,1
監候,1
其,1
所,1
侵銀,1
兩勒限,1
追,1
賠,1
侍郎,1
革職,1
留任,1
董國禮,1
不行,1
參奏,1
甚屬,1
溺職,1
照例,1
革任,1
應如,1
所擬,1
從,1
之,1
위기,0
