한자단어,빈도
之,4
李光地,3
大兵,3
皇帝,2
為,2
遣,2
人,2
又,2
為國,2
旨,2
歸,2
何以,2
敬等,2
得,2
康熙,1
十七年,1
戊午,1
十一月,1
戊戌,1
朔上,1
兩詣,1
太皇太后,1
行宮,1
問安,1
丁酉,1
今上,1
生上,1
第十一,1
子,1
也,1
母,1
曰,1
吳雅氏,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
實錄,1
卷,1
七十七,1
己亥,1
上以,1
冬至,1
郊祀,1
還京率,1
內,1
大臣,1
侍衛大學士,1
尚書,1
三品,1
以上,1
官詣,1
孝陵,1
奠酒,1
舉哀,1
畢,1
啟行,1
是,1
日,1
駐蹕,1
薊州城,1
內鎮,1
東將,1
軍喇哈達,1
疏言海賊,1
斷江,1
東橋,1
等,1
處,1
阻截,1
援兵,1
泉州,1
守制,1
在籍,1
翰林院,1
侍讀,1
學士,1
遣人,1
至臣,1
軍中,1
鄉導,1
由,1
漳平,1
縣朝,1
天嶺,1
小路,1
入,1
安溪,1
縣,1
復,1
修通,1
險道,1
接濟,1
軍,1
需,1
躬迎,1
文臣,1
盡,1
勞請,1
加議,1
敘得,1
當閩地,1
變亂,1
初,1
不肯,1
從逆具,1
疏密,1
陳,1
機宜,1
殫竭,1
忠貞今,1
迎接,1
指引,1
道路,1
平險,1
隘治,1
浮橋,1
餽,1
食物,1
餉,1
軍率,1
民兵,1
備辦,1
糧米供,1
給兵,1
眾口,1
糧,1
矢志,1
滅賊,1
實心,1
深為,1
可嘉,1
著,1
從,1
優授,1
學士寧南,1
靖寇大,1
將軍多羅順,1
承郡王,1
勒爾錦,1
疏言先,1
後,1
投誠偽,1
官及,1
房縣,1
來,1
偽,1
總兵,1
雖授,1
劄,1
以示,1
鼓舞,1
而止,1
食兵,1
糧生計,1
難給,1
慕化來,1
宜令,1
所以,1
勵來者,1
其悉,1
予半,1
俸,1
위기,0
