한자단어,빈도
道,8
等,5
楠木,4
分,4
地方,3
分守,3
康熙,2
上,2
皇后,2
學士,2
鎮標,2
廣東,2
蘇赫臣,2
才,2
及,2
俱,2
毋得,2
四川,2
巡驛,2
傳道,2
分巡,2
嶺,2
江右,2
二十一年,1
壬戌,1
冬,1
十月,1
甲戌,1
朔享,1
太廟,1
親詣,1
行禮遣,1
官,1
祭,1
永陵,1
福陵,1
昭陵,1
孝陵仁,1
孝,1
孝昭,1
陵,1
頒,1
二十二年,1
時憲,1
曆,1
癸酉,1
上以,1
翰林院,1
張英,1
內廷,1
供奉,1
敬慎勤,1
勞今,1
告假,1
回籍,1
營葬,1
伊父,1
張秉彝,1
特命,1
照張,1
英見,1
在,1
品級,1
賜卹致,1
祭命,1
京口,1
官兵,1
原,1
係,1
將軍管轄者,1
今,1
聽,1
提督,1
管轄戶,1
部保,1
舉關,1
差官,1
員,1
辦事,1
有,1
曰,1
凡,1
部院,1
司官,1
果能,1
謹慎奉,1
職方,1
不,1
僨,1
事,1
如,1
科臣,1
莫羅輩,1
狂妄,1
自恃,1
雖有,1
幹,1
亦,1
無,1
足取,1
可,1
另行,1
保舉,1
以聞,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
之一,1
百四,1
乙亥,1
諭,1
差往,1
採辦,1
郎中,1
崑,1
篤,1
倫等爾,1
以,1
才能,1
簡選,1
查採,1
所,1
至,1
爾,1
會,1
同督,1
撫務要,1
實心,1
詳察,1
借端,1
擾害,1
原任,1
巡撫,1
張德地,1
曾經,1
具題,1
多有,1
出征,1
班師,1
人員亦云,1
頗,1
多據,1
此,1
峨眉,1
嘉定,1
處,1
必多產此,1
木凡督撫,1
藩,1
臬,1
在外,1
俱成積,1
習爾,1
不得,1
推諉,1
地方官,1
所有,1
之處,1
必身,1
到察,1
採凡,1
房屋,1
衙門,1
寺,1
廟,1
墳,1
墓,1
拆毀,1
採取,1
恐,1
棍徒,1
借此,1
詐害,1
平民,1
可將,1
此等,1
緣由曉諭,1
知悉,1
裁,1
江南,1
江鎮,1
巡徽寧道,1
山東分,1
陜,1
西分守,1
關西道,1
關南道,1
浙江,1
杭,1
嚴道,1
江西,1
守,1
湖西,1
湖東道,1
分守嶺,1
西道,1
東道羅定,1
巡雷廉,1
南道,1
廣西,1
蒼梧,1
桂平,1
道鬱林道,1
分守督,1
糧道,1
貴州,1
分守貴,1
東道,1
雲南,1
臨元道,1
洱海,1
缺,1
위기,0
