한자단어,빈도
都御史,4
陞,3
左,3
上詣,2
太皇太后,2
皇太后,2
宮,2
問安,2
為,2
總兵,2
趙,2
任,2
刑部尚,2
魏象,2
仍,2
得,2
康熙,1
十八年,1
己未,1
五月,1
甲午,1
朔,1
侍,1
講學士,1
庫勒納,1
詹事府,1
詹事,1
大理寺,1
少卿,1
張,1
問政為,1
太僕寺,1
卿,1
調,1
河南,1
河北,1
官傅,1
魁為,1
廣西,1
左江,1
官,1
癸巳,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
之,1
八十,1
乙未,1
諭,1
翰林院,1
選拔,1
庶常,1
原以,1
作養,1
人材,1
今科,1
進士,1
特加,1
簡閱,1
取,1
吳震方,1
張廷瓚,1
秦宗游田,1
需陳捷,1
執信,1
曹鑑倫馬,1
教思,1
劉果,1
實沈朝,1
初,1
楊大鶴,1
陸祖,1
修方,1
伸陸,1
輿,1
李孚青,1
佘艷雪,1
王沛,1
思丁,1
暐,1
莊延裕,1
汪晉,1
徵王,1
承祜,1
宋敏求,1
潘應,1
賓顧,1
鐔,1
梁弓,1
陳,1
紫芝,1
張克嶷,1
張光豸,1
盧熙,1
璿,1
作舟,1
楊雍,1
等,1
三十二,1
員俱著,1
改為,1
庶,1
吉士,1
并,1
修撰,1
歸允肅,1
編修,1
孫卓茆薦,1
馨,1
分別,1
滿漢書,1
教習,1
都察院,1
書,1
樞疏,1
請,1
留臣,1
任庶,1
勉竭愚,1
悃,1
激濁揚,1
清為,1
朝廷,1
振肅,1
綱紀,1
旨,1
樞著加,1
書銜,1
留,1
僉,1
王,1
盛唐,1
太,1
常寺卿,1
위기,0
