한자단어,빈도
為,4
等,3
軍,2
科道,2
不,2
陳,2
刑部,2
右侍郎,2
秋,1
七月,1
壬子,1
朔享,1
太廟,1
遣,1
內,1
大臣,1
覺羅塔,1
達行,1
禮授,1
故輔,1
國將,1
恩克,1
布子,1
榮貴,1
奉國將,1
辛亥,1
諭大學士,1
曰,1
行取,1
官員,1
吏部,1
已經,1
引見,1
其,1
各部,1
主事,1
漢官,1
朕,1
尚未,1
知其人,1
耳目,1
之司,1
選擇,1
不可,1
不慎,1
爾,1
即,1
傳諭,1
九卿,1
詹事,1
令,1
各舉,1
所知,1
將,1
居官,1
潔清,1
辦事,1
才能,1
者,1
從,1
公保舉,1
可以,1
同年,1
同鄉,1
親黨,1
徇情,1
私保即,1
總督,1
巡撫,1
所舉,1
有,1
當亦著,1
指,1
勿,1
隱以,1
隨征,1
阿思哈,1
尼哈番,1
王麟,1
四川,1
永寧,1
總兵,1
官,1
癸丑,1
轉,1
一炳為,1
左侍郎,1
以候,1
補,1
侍郎,1
杜臻,1
阿霸,1
哈納,1
固山,1
貝子,1
董宜斯噶卜,1
故遣,1
官致,1
祭,1
위기,0
