한자단어,빈도
等,4
或,3
浙江,3
巡撫,3
祭,2
書,2
病,2
曰,2
以來,2
觀,2
部院,2
有,2
復,2
時,2
地方,2
百姓,2
湖廣,2
補,2
王國安,2
王新命,2
徐國,2
陞,2
二月,1
丁酉,1
朔遣,1
大學士,1
李,1
霨,1
先師,1
孔子,1
刑部尚,1
魏象,1
樞以,1
乞休,1
慰留,1
之,1
丙申,1
諭大學士,1
副,1
都御史,1
塞克,1
德自,1
簡任,1
並未見,1
陳,1
奏,1
一事,1
才,1
具庸,1
劣且,1
非淳,1
良之人,1
可令,1
解任,1
朕,1
官員懶,1
惰者,1
甚多,1
一遇,1
苦差,1
稱病,1
規避者,1
嗣,1
後,1
官員,1
事故,1
俱,1
著,1
註,1
冊,1
以,1
憑,1
分,1
別,1
勤,1
惰,1
今,1
尚,1
薩,1
穆哈,1
黽,1
勉供,1
職部務漸,1
覺,1
整理,1
且,1
各處,1
工程,1
錢,1
糧俱得,1
節省,1
著察所降,1
之級,1
還又諭,1
督撫,1
乃,1
封疆,1
大臣,1
通省,1
民命,1
所關,1
世祖,1
皇帝,1
所用,1
者,1
尚屬,1
循良,1
逮至,1
輔臣,1
自用,1
張長,1
庚白,1
如梅,1
張自德,1
賈漢,1
屈盡美,1
韓世琦,1
匪,1
人,1
擾害,1
以致,1
困苦,1
已極,1
今之督撫,1
較,1
前,1
雖覺,1
稍,1
愈,1
而,1
相沿成,1
習,1
尚未,1
盡,1
改見,1
在,1
總督江寧,1
巡撫員缺,1
最為,1
緊要,1
必擇,1
賢能,1
授方,1
於,1
有濟,1
如,1
不得,1
其人則,1
受害,1
不可,1
勝言,1
矣,1
此,1
三,1
缺爾,1
加意,1
詳審務得,1
相宜,1
之人,1
補授,1
為,1
當尋大學士,1
遵旨,1
公同,1
舉出,1
安徽,1
相等,1
得旨,1
總督,1
相,1
補湖,1
廣總督,1
調補江寧,1
巡撫以,1
內閣,1
學士,1
胡,1
簡敬,1
充經,1
筵,1
講官,1
戊戌,1
大社,1
大稷,1
上,1
親詣,1
行禮,1
위기,0
