한자단어,빈도
於,4
者,4
隻,4
從,3
鄂,3
等,3
之,3
黃,3
得,3
向,3
有,3
副,2
疏報,2
賊,2
下部,2
議敘,2
地方,2
和,2
海澄公,2
芳泰,2
年少,2
既,2
下,2
所,2
因,2
耿精忠,2
提督,2
與,2
齊爾圖,2
汗,2
噶爾丹,2
去,2
西海,2
馬,2
駝,2
起兵,2
人,2
而,2
復,2
康熙,1
十七年,1
戊午,1
八月,1
己巳,1
朔,1
上詣,1
太皇太后,1
宮,1
問安,1
陞,1
太,1
常寺卿,1
朱,1
裴為,1
都察院,1
左,1
都御史,1
以禮部,1
郎中,1
葉映,1
榴為,1
陜,1
西,1
按察使,1
司僉事,1
提調,1
學政,1
戊辰,1
安遠,1
靖寇大,1
軍多羅貝勒,1
尚善,1
吳逆,1
水陸要,1
路,1
在,1
處,1
固守,1
套河峽,1
係,1
洞庭湖,1
要口,1
我兵,1
進剿,1
門戶,1
設樁,1
木攔,1
阻,1
兵船,1
總兵,1
官萬,1
正色,1
兩次,1
進兵,1
斫,1
倒,1
樁,1
木,1
此舟,1
師直,1
進逆賊,1
旦夕,1
可平,1
矣,1
尚書,1
又,1
討逆將,1
軍都統,1
內敗,1
杜巴,1
姜,1
柳林,1
嘴,1
殺賊,1
一千,1
餘名,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
七十五,1
庚午,1
奉命,1
大將,1
軍,1
碩康親,1
王傑,1
書,1
疏言,1
柔懦,1
不勝兵,1
事得,1
旨,1
功臣,1
之嗣,1
不能,1
軍而,1
仍授,1
以兵,1
倘至,1
失律,1
恐反為,1
彼罪且,1
無益,1
可令黃芳,1
泰及,1
芳,1
世之子,1
并,1
其家屬,1
俱,1
赴京,1
師務,1
安置,1
所以,1
朕,1
始終,1
保全,1
至意,1
其標,1
官兵,1
督撫,1
等察其,1
可用,1
補入,1
各營,1
罷老,1
不堪,1
量行,1
安插,1
諭,1
兵部,1
靖南王,1
剿賊,1
外出,1
遣鎮,1
平將,1
軍耿昭忠,1
赴,1
閩,1
暫理,1
旗務今,1
還,1
省城,1
耿昭忠,1
可,1
攜,1
其,1
祖父,1
骸骨,1
來京靖,1
逆將,1
軍甘肅,1
侯張勇,1
疏言臣,1
孫思克及,1
理事,1
官拉篤祜,1
選擇,1
通事,1
密行,1
遠,1
探噶爾丹,1
情形,1
據,1
回,1
報云有,1
屬下,1
達爾漢,1
哈什,1
罕,1
曾,1
為,1
擄,1
今往,1
遇而,1
問之彼言噶爾丹,1
殺,1
今歲,1
二月,1
內令,1
其屬,1
兵丁,1
殷實者,1
各備,1
十匹,1
三,1
羊十,1
窘乏,1
五匹,1
一,1
羊,1
五,1
自其地,1
不知,1
何向臣,1
聞,1
甘屬,1
番,1
人素,1
僧額,1
輸租僧,1
額歿屬,1
噶爾丹臣,1
召其頭,1
目永柱,1
訊,1
之言噶爾丹居,1
西北,1
金山,1
距嘉峪關,1
兩月程,1
即,1
古,1
大宛,1
國也臣,1
聞噶爾丹遣,1
喇嘛,1
萬春來,1
召番,1
人頭,1
目至,1
河套,1
議事臣,1
密遣,1
誘問,1
萬春言噶爾丹,1
遴近,1
諸番,1
之者,1
亦,1
侵,1
之意,1
人心,1
不一西,1
海路,1
遠恐,1
一動,1
本地,1
有事,1
不敢,1
輕舉,1
臣,1
遣,1
至,1
墨爾根,1
台吉,1
審視,1
之眾,1
皆,1
寂然,1
安居,1
第番,1
情難,1
以,1
預料,1
謹,1
疏奏聞,1
旨噶爾丹,1
雖,1
無,1
聲息,1
應,1
仍,1
檄,1
該,1
將軍等,1
不時,1
偵探,1
加意,1
防守,1
邊境,1
위기,0
