한자단어,빈도
都,5
和,3
皇后,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
一百五十,2
康熙,2
大臣,2
達爾沙,2
上,2
七,1
三十一年,1
壬申,1
冬,1
十月,1
丙子,1
朔享,1
太廟,1
遣領,1
侍衛內,1
公福,1
善行,1
禮遣,1
官,1
祭,1
永陵,1
福陵,1
昭陵,1
暫安奉,1
殿,1
孝陵仁,1
孝,1
孝昭,1
孝懿,1
陵,1
頒,1
三十二年,1
時憲歷,1
吏部,1
議差,1
往,1
呼爾河種,1
地,1
鑲,1
白旗,1
蒙古,1
統班,1
侍郎,1
舒恕,1
等,1
不將,1
田地,1
勤行,1
耕種,1
俱降,1
一級,1
罰,1
俸,1
一年,1
曰,1
班,1
其人,1
甚輕,1
浮不稱,1
統之任,1
前,1
曾,1
差往,1
鄂羅斯,1
凡事,1
好,1
為,1
穿,1
鑿,1
並無實濟,1
將班,1
達爾沙革,1
去,1
統隨該,1
管王,1
行走,1
餘依議,1
乙亥,1
回宮,1
諭,1
兵部,1
正藍旗,1
統,1
宗室,1
拉克,1
達,1
才力,1
不及,1
著,1
革退,1
以內,1
公長,1
泰掌,1
鑾,1
儀衛事務,1
六,1
丁丑,1
陞,1
鑲紅旗,1
滿洲,1
副,1
統阿爾法,1
為護,1
軍統領,1
碩端靜,1
公主,1
下嫁,1
喀喇沁,1
杜,1
楞,1
郡王,1
札,1
什之子,1
噶爾,1
臧,1
筵宴,1
如例,1
위기,0
