한자단어,빈도
等,10
為,5
於,5
之,4
與,4
大學士,3
總督,3
曰,3
蒙古,3
上,3
不,3
李,3
鈵,3
審事,3
糶,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
王新命,2
以,2
永定河,2
繪圖,2
河形,2
丈,2
或,2
皆,2
著,2
其,2
喇嘛,2
爾,2
即,2
道,2
御史,2
巡撫,2
自,2
江南,2
將軍,2
提督,2
查明,2
河南,2
印信,2
鈐,2
印事,2
藩,2
臬,2
地方官,2
百姓,2
朕,2
去年,2
河工,2
截留,2
隄岸,2
無,2
一日,2
一百九十八,1
康熙,1
三十九年,1
庚辰,1
三月,1
甲午,1
朔上,1
御經,1
筵講,1
畢賜,1
九卿,1
詹事及,1
講官,1
宴,1
原任,1
河道,1
修理,1
呈覽上,1
披閱,1
指問,1
良久,1
顧,1
此圖,1
曲折,1
闊,1
狹,1
不符,1
如,1
一百八十,1
丈為,1
一里則,1
以尺,1
以寸,1
更,1
以分,1
釐,1
丈尺量,1
其遠近,1
按,1
尺寸,1
繪之方,1
相符,1
一覽,1
了然,1
今爾此,1
圖,1
意度,1
未見,1
明確,1
另,1
呈覽,1
通政使,1
司,1
左,1
通政,1
張格,1
差往,1
審理,1
蒿,1
齊,1
忒,1
旗,1
盜案,1
并,1
教養,1
請,1
訓旨,1
性情,1
怠惰,1
愚蠢,1
貪得,1
無厭,1
可以,1
內地,1
法治,1
之順,1
其性,1
以漸,1
導方能,1
有益,1
初到,1
時,1
亦,1
不可,1
即行,1
給助始,1
若過,1
優恐後不繼,1
宜視,1
困乏,1
漸行,1
補助且,1
惟信,1
一切,1
不顧,1
此風,1
亟宜,1
變易,1
倘,1
有,1
犯法者,1
按律,1
治罪,1
令知,1
懲戒,1
吏部,1
題,1
浙江,1
廖騰,1
煃,1
疏,1
參,1
安徽,1
病,1
不能,1
辦事,1
今,1
回,1
奏,1
稱,1
病愈,1
應交,1
具奏,1
諭,1
各省,1
向,1
民事,1
敕書,1
開載,1
甚明,1
從,1
無行查,1
之例,1
今議,1
令將,1
軍,1
殊屬,1
不合,1
嚴,1
敕,1
該部,1
事,1
江西,1
張鵬翮,1
查奏,1
禮部議,1
覆,1
鄭惟孜,1
疏言奉,1
差,1
官員,1
宜給,1
應准,1
行得,1
旨,1
凡,1
差遣,1
官員若,1
另給,1
甚滋煩擾,1
不必,1
鑄給,1
嗣,1
後,1
官員定,1
招審,1
結即,1
疏內,1
寫明,1
具題,1
日期,1
本,1
用督撫,1
關督,1
撫則,1
關督撫,1
則鈴,1
提鎮,1
印諭,1
修築,1
夫役,1
雲集,1
人多則,1
需米,1
穀,1
價必,1
致騰,1
貴遣戶,1
部賢能,1
司官,1
二員,1
截山東,1
漕米,1
二萬石,1
留,1
信安柳,1
岔二處,1
會同,1
照前,1
稍,1
減時,1
價平,1
至,1
附近,1
信安修河,1
諸處,1
屯莊米,1
石亦令,1
賣,1
癸巳,1
暢春園,1
回宮,1
一百九十,1
七,1
乙未,1
上幸,1
暢春園詣,1
皇太后,1
宮,1
問安諭,1
戶部,1
淮揚,1
處,1
頻年,1
罹,1
水災,1
未寧,1
幹止,1
心時,1
切軫念,1
比歲,1
以來,1
多方,1
優恤,1
蠲免,1
賑給,1
靡不,1
舉行,1
春,1
親覆,1
目擊,1
小民,1
田廬,1
被,1
渰,1
沒,1
災黎艱,1
粒,1
食益,1
憫,1
惻,1
懷爰命,1
按戶,1
賑濟,1
又將,1
漕糧發,1
賑平,1
俾,1
得,1
贍養,1
上下,1
兩,1
前,1
雖,1
屢,1
發帑,1
金修築,1
迄,1
禆,1
益,1
二月,1
面諭,1
諸臣,1
速行,1
修治,1
至今,1
尚無,1
成效,1
復,1
遴選廷臣,1
同往,1
經理,1
非軫,1
懷民,1
瘼,1
欲,1
令黃運,1
兩河,1
速成,1
斯民早,1
安生,1
業耳念,1
水患,1
除則,1
不得,1
耕種,1
用,1
是,1
深以,1
為慮,1
著將,1
今年,1
漕糧,1
二十,1
萬,1
石存,1
貯淮揚,1
地方,1
備用爾部,1
遵諭行,1
위기,0
