한자단어,빈도
按察使,10
為,9
郎中,9
司僉事,9
提調,9
等,8
之,5
陞,4
學政,4
日食,3
上,3
曰,3
學政戶部,3
左,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
諭,2
人事,2
又,2
者,2
貴州,2
布政使,2
學政禮部,2
工部,2
學士,2
都察院,2
副,2
都御史,2
黃,2
鑲,2
都,2
蒙古,2
成龍,2
奏,2
請,2
旗員及,2
効,2
力人,2
牽駝,2
鄂爾,2
多斯,2
從,2
觔,2
一百八十,1
康熙,1
三十六年,1
丁丑,1
二月,1
壬午,1
朔欽天,1
監豫奏,1
分數,1
大學士,1
雖人,1
可豫算然,1
自古,1
帝王,1
皆,1
因此,1
而,1
戒懼,1
蓋,1
所以,1
敬天,1
變修,1
也,1
若,1
庸,1
主則,1
諉,1
諸氣數,1
矣,1
去年,1
水,1
潦,1
地震,1
今,1
意必,1
陰盛,1
所致,1
豈,1
可謂,1
無,1
與,1
於,1
乎,1
可諭,1
九卿,1
如,1
有人,1
事應,1
修改,1
悉,1
以奏聞,1
大理寺,1
少卿,1
梅,1
鋗,1
太,1
僕,1
寺,1
卿,1
湖北,1
王毓賢為,1
司,1
辛巳,1
以戶部,1
賽璋,1
山西,1
周爰訪,1
江西,1
陸鳴,1
珂,1
山東,1
歐陽旭為,1
雲南,1
峴,1
廣東,1
卜景,1
超為,1
陸德元,1
陜,1
西,1
刑部,1
張仕,1
可為,1
河南,1
汪薇,1
福建,1
一百七十,1
九,1
癸未,1
調內閣,1
哈山為,1
通政使,1
茂為,1
內閣,1
兼禮部,1
侍郎,1
以,1
旗漢,1
軍,1
統公,1
鄂倫,1
岱,1
領侍衛內,1
大臣,1
白旗,1
統圖席,1
希為,1
本旗護,1
軍統,1
領督運,1
于,1
此次,1
運米,1
九千,1
止,1
有,1
臣,1
七人,1
恐前,1
後,1
不能,1
管攝,1
遣,1
情願,1
分管,1
押運至,1
負米,1
乃,1
兵所習,1
請將,1
附近,1
地方,1
兵,1
多,1
派出,1
使,1
並准,1
帶往,1
大同,1
見,1
有察哈爾兵,1
一百六十,1
名爾,1
經其地,1
可率,1
之前,1
去,1
其,1
貝勒該,1
管官員,1
一并,1
帶去,1
馬,1
聚一處,1
必至,1
受傷,1
著以,1
肥馬,1
在,1
前魚,1
貫而行,1
但,1
所,1
負過,1
重則,1
遠道,1
難,1
以長,1
驅爾,1
酌量,1
可負,1
二百,1
率,1
以百,1
準至,1
運之之法,1
亦,1
照,1
坐塘,1
遞運為,1
便于,1
帶理,1
藩院,1
官及,1
勘合,1
火牌,1
隨行,1
위기,0
