한자단어,빈도
饑,9
民,8
其,6
有,5
五城,5
朕,4
若,4
等,3
不,3
作何,3
各,3
令,3
淹禁,3
至,3
應令,3
都,3
和,2
復,2
今,2
疾疫,2
原籍,2
地方官,2
內,2
給以,2
去,2
歲,2
刑獄,2
乞食,2
入,2
城,2
應,2
聽,2
用兵,2
事,2
即,2
與,2
會,2
同,2
於,2
回,2
之,2
似,2
月,2
仍,2
寬,2
亦,2
上詣,2
太皇太后,2
宮,2
賑,2
之時,2
副,2
蒙古,2
夏,1
四月,1
庚申,1
朔享,1
太廟,1
上,1
親詣,1
行禮諭,1
大學士,1
陰陽,1
蓋,1
由,1
人事,1
失當思,1
欲,1
感通,1
必須,1
處置,1
得宜,1
頃者,1
年,1
登,1
就,1
食,1
多聚,1
京師,1
故令,1
增設,1
各廠,1
煮,1
糜,1
救,1
四方,1
失業,1
之民,1
因此,1
而來者,1
愈眾,1
反致,1
流離,1
道路,1
轉徙,1
溝壑,1
之虞且,1
天氣漸,1
向,1
炎熱,1
老幼,1
羸弱,1
聚之蒸,1
為,1
轉益,1
災,1
沴,1
甚,1
憂,1
焉,1
設,1
法令,1
歸,1
仍令,1
各該,1
拊,1
循,1
周恤,1
毋致,1
流移失所,1
者,1
藥餌,1
醫治,1
拯救,1
二冬無雪,1
今春,1
無雨,1
恐有,1
冤,1
抑應,1
清理,1
許,1
裏,1
否,1
出入,1
地方,1
殉難,1
諸臣,1
卹典,1
原該,1
平定,1
議今,1
應否,1
舉行,1
以上,1
數事,1
皆,1
意念,1
所及,1
爾,1
各部,1
院,1
詳議,1
具奏,1
此外,1
如有,1
應行,1
應革,1
關切,1
時務者,1
可,1
各抒,1
所見,1
一并,1
議奏,1
是,1
大學士會,1
六部,1
都察院,1
議,1
奏,1
路費,1
恐近,1
處,1
聞,1
風,1
而,1
則,1
給,1
費,1
遣,1
不便,1
行應,1
展限,1
兩個,1
煮粥,1
賑濟,1
患病者,1
太,1
醫院,1
及,1
醫生,1
診視,1
遣員,1
管理,1
至於,1
人犯,1
三法司,1
再,1
加詳,1
審有,1
釋者,1
即題,1
請,1
寬釋,1
特,1
傳,1
諭,1
未免,1
煩雜,1
下令,1
禁止,1
又,1
恐將,1
有事,1
之人,1
一,1
槩,1
阻絕,1
不必,1
另議,1
各處,1
員,1
殉,1
難者,1
該部,1
酌議,1
即行,1
敘卹,1
從,1
己未,1
皇太后,1
問安,1
三等,1
阿思哈,1
尼哈番,1
達賴,1
軍機革,1
職以,1
其兄子,1
達,1
成襲,1
替,1
巡視,1
中城,1
御史,1
洪之傑,1
疏,1
言,1
自,1
去冬,1
流集京師,1
賑粥,1
全活,1
且,1
屢,1
限至,1
三月,1
終,1
停止,1
今為期,1
已滿,1
請將,1
賑餘,1
銀米酌,1
給遣,1
回得旨,1
今非,1
麥熟,1
資遣,1
還鄉,1
恐失,1
所著,1
添設,1
賑廠,1
關廂外,1
再行,1
粥,1
兩,1
俟,1
麥收,1
回鄉,1
里,1
辛酉,1
問安諭,1
刑部,1
三冬無雪今,1
春雨,1
澤,1
愆期,1
天氣亢,1
暘,1
農事,1
可慮,1
念,1
切民,1
瘼,1
夙夜,1
焦勞,1
或,1
因,1
中,1
冤枉,1
致干天,1
未可知,1
茲,1
特遣,1
明珠,1
杜立德,1
希福,1
李天馥,1
同三法,1
司將,1
已結,1
重案,1
逐一,1
詳加,1
審,1
鞫,1
如,1
有罪,1
可矜,1
疑者,1
察明,1
事由,1
開列,1
具奏務期,1
情法,1
允協,1
枉,1
必伸,1
以,1
欽恤獄,1
讞,1
意調,1
平南,1
將軍正,1
白旗,1
統賴塔為,1
滿洲,1
統,1
陞,1
正,1
藍旗,1
統覺,1
羅,1
夸代為,1
護軍統領,1
위기,0
