한자단어,빈도
襲擊,4
等,3
兩路,3
已,3
軍,2
前往,2
今年,2
但,2
使臣,2
來,2
年,2
進剿,2
六月,1
壬寅,1
朔,1
庚子,1
土默特,1
多羅達爾漢貝勒,1
阿喇卜,1
坦來,1
朝,1
甲辰,1
以多羅貝勒,1
滿篤祜為,1
正,1
白旗,1
滿洲,1
都,1
統議政,1
大臣,1
等議,1
覆振武將,1
傅爾丹,1
疏言臣,1
遵旨,1
差貝勒,1
丹津,1
多爾濟,1
會同,1
將軍富,1
寧安等,1
公議,1
巴爾庫爾並,1
阿爾泰,1
官兵,1
之馬,1
畜軍器,1
口,1
糧,1
俱,1
敷用,1
進兵,1
毫無遲,1
滯,1
見,1
今業,1
差人到,1
策妄,1
阿拉布,1
坦處,1
俟,1
回日,1
如策,1
妄,1
阿,1
喇,1
布坦,1
仍前,1
巧飾,1
推托,1
即,1
於,1
約,1
會,1
今歲,1
可,1
暫停,1
襲擊查,1
兵馬,1
駐,1
扎,1
有,1
年前,1
歲,1
進往,1
未,1
得,1
深入,1
雖差,1
應乘,1
兵丁,1
馬,1
匹,1
肥壯,1
人力,1
整齊會議,1
今,1
時候,1
遲,1
應令,1
停,1
其,1
行文,1
與,1
兩路將,1
預備,1
從,1
之,1
위기,0
