한자단어,빈도
等,6
之,4
地方,4
和,3
駐蹕,3
回子,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
二百八十,2
上,2
阿,2
大臣,2
阿喇衲,2
於,2
七月,2
日,2
進兵,2
兵,2
破,2
擒,2
降,2
皮禪城,2
官兵,2
及,2
拍爾,2
翰林院,2
學士,2
九,1
康熙,1
五十九年,1
庚子,1
九月,1
乙丑,1
朔上,1
得爾吉惠漢,1
甲子,1
達,1
顏昂,1
靖逆將,1
軍富寧安,1
疏言散,1
秩,1
初八,1
齊克塔木,1
遇賊,1
設立,1
營寨擊,1
殺,1
二十,1
餘人賊,1
眾悉,1
初十,1
日至,1
有,1
守城,1
拒敵,1
進擊,1
一人,1
復,1
遺歸令曉諭眾,1
我,1
師為征,1
剿策,1
妄,1
喇,1
布坦,1
而來,1
與,1
伊等,1
無涉,1
若速行,1
歸順,1
即免,1
屠戮,1
否則,1
城後悔,1
無及,1
是,1
回子頭,1
目率,1
三百,1
餘人來,1
十三日,1
大兵,1
至吐魯番,1
吐魯番,1
阿克,1
蘇爾坦,1
總管頭,1
目沙克扎,1
俱率,1
眾迎,1
降共獲,1
鳥,1
鎗,1
五百,1
五十,1
桿駝,1
四十,1
隻,1
馬,1
五百匹,1
十六日,1
帶沙克扎,1
凱旋得,1
旨,1
將軍富,1
寧安所奏,1
著,1
抄發,1
京城,1
傳諸王,1
滿漢,1
公同,1
看閱,1
八,1
丙寅,1
鷲,1
洛,1
陞,1
詹事府,1
詹事,1
李周望,1
侍講,1
李紱,1
俱為,1
內閣,1
兼禮部,1
侍郎,1
以,1
侍讀,1
陳,1
世倌,1
提督,1
順天,1
學政,1
위기,0
