한자단어,빈도
皇后,3
山東,3
祭,2
皇太后,2
四川,2
布政使,2
江南,2
年,2
前往,2
冬,1
十月,1
癸酉,1
朔享,1
太廟,1
遣領,1
侍衛內,1
大臣,1
伯霸,1
圖行,1
禮遣,1
官,1
永陵,1
福陵,1
昭陵,1
暫安奉,1
殿,1
孝陵仁,1
孝,1
孝昭,1
孝懿,1
陵,1
上,1
奉,1
自暢,1
春園,1
回宮,1
頒,1
康熙,1
四十三年,1
時憲歷,1
壬申,1
上詣,1
宮,1
問安,1
陞,1
高起,1
龍為,1
貴州,1
巡撫,1
浙江,1
按察使,1
于準,1
為,1
司布,1
政厄魯,1
特多,1
羅,1
郡王,1
丹津,1
阿拉布,1
坦故,1
遣,1
官致,1
甲戌,1
諭大學士,1
等,1
督撫,1
提督,1
著公同造,1
洋船,1
二十,1
隻,1
俟,1
來,1
春令,1
水師營,1
官兵,1
取至山,1
東候,1
用,1
目前,1
海盜,1
非確,1
係,1
積賊,1
皆,1
貿易,1
之人,1
資本,1
虧折,1
因,1
肆行,1
搶奪,1
可命,1
學士常壽,1
招撫,1
再令,1
筆帖式,1
三人往,1
三路,1
問賑,1
濟事,1
並視民間,1
情形,1
限,1
第六日,1
到京,1
朕,1
自幼,1
聽理,1
政事,1
極其敬,1
謹時,1
時惕厲,1
於,1
心今,1
已,1
艾諸事,1
更加,1
戒懼,1
不敢,1
稍,1
有,1
懈惰,1
忽略,1
也,1
위기,0
