한자단어,빈도
祭,2
不忍,2
和,2
碩親,2
王,2
蒙古,2
冬,1
十月,1
辛酉,1
朔享,1
太廟,1
上,1
親詣,1
行禮遣,1
官,1
永陵,1
福陵,1
昭陵,1
孝陵,1
頒,1
康熙,1
九年,1
時憲,1
曆,1
厄魯特,1
鄂,1
齊爾汗,1
故遣,1
官致,1
己未,1
諭理,1
藩院,1
昔,1
我,1
太宗皇帝,1
遣發,1
王師,1
獲額,1
哲等,1
以歸念,1
其,1
為察哈爾,1
林丹汗,1
之子,1
乃,1
元朝,1
苗裔,1
廢絕,1
特沛殊,1
恩,1
加封,1
迨,1
額哲,1
既,1
歿,1
以,1
其弟,1
阿布柰襲,1
王爵,1
阿布,1
柰,1
宜思世,1
受恩眷,1
竭誠圖,1
報乃上,1
負國家,1
豢,1
養之仁,1
累失,1
外藩,1
朝賀,1
之禮,1
情罪,1
重大,1
理宜,1
削封,1
但念,1
皇祖,1
太宗皇,1
考,1
世祖,1
優容,1
撫恤,1
之意,1
奪其,1
封爵,1
其以,1
阿布柰子,1
布爾尼,1
仍襲,1
封,1
陞,1
正,1
藍旗,1
副,1
都,1
統畢,1
理克圖,1
為,1
都統,1
壬戌,1
鄂羅斯察漢汗,1
遣使,1
進貢,1
宴賚如例,1
위기,0
