한자단어,빈도
等,6
之,5
福建,2
拏,2
楊,2
起隆,2
楊起,2
大臣,2
軍,2
章泰,2
提督,2
總兵,2
官,2
王用,2
十二月,1
丙戌,1
朔予,1
陣亡,1
阿達,1
哈哈,1
番,1
滕,1
天成,1
祭葬,1
如例,1
乙酉,1
上詣,1
太皇太后,1
宮,1
問安,1
刑部,1
衙門議,1
覆大將,1
軍圖海,1
解來京,1
偽,1
朱三即,1
楊起隆,1
又名,1
朱慈,1
璊,1
與,1
康熙,1
十二年,1
禁,1
妻馬氏,1
及,1
原夥,1
鄭得勝,1
並不,1
認識且,1
面有,1
剌,1
字,1
疤痕,1
明,1
係,1
旗下,1
逃人入,1
隆夥內,1
知其緣,1
由,1
遂,1
假借,1
隆之名,1
於,1
陜,1
西,1
造反,1
應照律,1
凌遲處,1
死,1
其馬氏,1
仍,1
監禁,1
俟,1
緝,1
獲,1
另結,1
從,1
丁亥,1
賜漢大學士,1
學士,1
九卿,1
詹事,1
國子監,1
祭酒,1
官漢文日,1
講書經,1
解義各,1
一部,1
諭議,1
政王,1
今貴州,1
底定,1
大兵,1
宜速,1
取雲南况,1
大將,1
軍賴塔兵,1
已,1
抵南寧大將,1
固山,1
貝子,1
毋分兵,1
向,1
遵義,1
即速,1
行進定,1
雲南章,1
泰軍中統,1
領綠旗,1
兵將,1
總督,1
隨征,1
甚多兵,1
數亦眾,1
進兵,1
時,1
可,1
於諸,1
內酌,1
留貴陽厚,1
其,1
兵力,1
俾守,1
黔,1
中,1
至,1
固原,1
予前,1
曾,1
請取,1
遵義今,1
宜令,1
予速取,1
遵義即,1
鎮守,1
水師,1
萬,1
正色,1
以病,1
乞休,1
慰留,1
위기,0
