한자단어,빈도
等,8
都,3
之,3
仙霞,3
康熙,2
十五年,2
復,2
也,2
逆,2
軍,2
和,2
王傑,2
副,2
遣,2
於,2
關,2
書,2
并,2
驛來京,2
上詣,2
赴,2
以,2
丙辰,1
九月,1
庚辰,1
朔,1
停止,1
陜,1
西,1
薦,1
舉以,1
地方,1
新,1
官屬,1
賢否,1
未經,1
詳察,1
從督撫,1
奏,1
請,1
浙江,1
總督,1
李之芳,1
疏報,1
閩,1
偽將,1
軍馬九玉敗,1
走大將,1
碩康親,1
書遣,1
統胡圖,1
率兵,1
追擊,1
破,1
常山,1
縣,1
又,1
將軍賴塔,1
統馬哈達,1
八月,1
二十日,1
進至,1
分路,1
夾攻,1
次日,1
偽,1
參將,1
金應,1
虎,1
獻,1
關迎,1
降官,1
軍長,1
驅而進,1
二十三日,1
攻拔,1
浦城,1
縣得,1
旨嘉獎,1
下部,1
議敘諭,1
兵部,1
移會,1
康親,1
關投誠偽,1
官內擇,1
深知,1
閩事者,1
一人,1
曾經,1
攻克,1
章京,1
一員馳,1
己卯,1
皇太后,1
宮,1
問安加,1
江西,1
贛州,1
總兵,1
官哲爾,1
肯署,1
都督,1
同知,1
敘舉,1
首偽將,1
軍高得捷,1
逆書功,1
喀爾喀土,1
謝圖,1
汗,1
墨爾根,1
台吉,1
遣使,1
進九白,1
年,1
貢宴,1
賚,1
如例,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
六十二,1
辛巳,1
湯泉,1
太皇太后,1
行宮,1
問安是,1
日,1
駐蹕,1
鞏華城,1
先是,1
撫遠,1
大將,1
統大學士,1
公圖海,1
疏言原,1
任廣西,1
提督,1
馬,1
雄,1
陷身,1
從,1
其母,1
及,1
族人,1
俱,1
在,1
固原,1
今馬雄,1
母欲令,1
其,1
孫馬承,1
先馬承霄持,1
廣西,1
招雄,1
歸降,1
上,1
令馬承先,1
馳,1
至,1
是,1
抵京,1
師給,1
遊擊銜,1
劄,1
粵西,1
招撫馬雄,1
令,1
錄馬雄,1
披陳原,1
疏持,1
為,1
信,1
위기,0
