한자단어,빈도
駐蹕,3
地方,3
我,3
上,3
等,3
之,3
營兵,3
都,3
愛,2
阿,2
喀,2
而,2
一千,2
右翼,2
左翼,2
即,2
副,2
譁,2
欲,2
謀,2
擒,2
獲,2
正法,2
康熙,1
二十七年,1
戊辰,1
九月,1
庚午,1
朔上,1
里昂,1
時澤卜尊,1
丹巴,1
胡土克圖,1
遣使,1
報稱,1
噶爾丹,1
分兵,1
三路,1
尚,1
途,1
刦,1
掠,1
約,1
會,1
於,1
邊,1
哨,1
必,1
汗,1
喇,1
鄂博,1
之地,1
侍郎,1
文達,1
以聞,1
諭,1
尚書,1
阿喇尼,1
曰,1
喀爾喀所告,1
之言,1
雖未,1
審虛實,1
邊塞,1
不可不,1
為,1
防禦應,1
派京師,1
八旗,1
護軍每佐領,1
七名,1
驍騎,1
每佐領,1
二名,1
前鋒,1
二百名,1
火器,1
子母,1
礮,1
八門限,1
五日,1
內,1
起程,1
再令,1
大同,1
宣府,1
總兵,1
官,1
鮑敬,1
藍理,1
各選,1
精兵,1
親率,1
來,1
軍俱應,1
在,1
歸化城,1
駐備,1
此,1
係,1
備兵,1
不用,1
將軍印,1
每翼置,1
統一員,1
著公蘇,1
努率,1
著公化,1
善率,1
以,1
蘇努為,1
統帥,1
統邁圖,1
那,1
秦查,1
木揚,1
楊,1
岱,1
統希禪,1
阿爾法,1
牛尼有,1
達爾泰令,1
一,1
併,1
前往,1
雲南,1
貴州,1
總督,1
范承勳,1
疏言楚,1
省,1
兵,1
滇南,1
訛言,1
四起,1
標兵,1
郭之盈,1
密首,1
張,1
麻子,1
倡亂旋,1
叛首,1
十三,1
人,1
審實,1
得旨,1
據,1
奏,1
結黨,1
譟,1
該,1
督,1
行,1
審,1
明,1
消弭,1
未,1
形安靖,1
深為,1
可嘉,1
其出,1
首人,1
各加賞,1
賚,1
以示,1
鼓勵,1
己巳,1
克勒,1
烏里雅,1
蘇台,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
之一,1
百,1
三十六,1
辛未,1
穆祿,1
喇沁昂,1
위기,0
