한자단어,빈도
等,7
萬,6
文武,3
及,3
五百,3
大清,2
聖祖合,2
天弘運,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
二百,2
上詣,2
大臣,2
大學士,2
皇太后,2
忒,2
阿霸,2
節婦,2
二人,2
一人,2
二千,2
九百,2
兩有,2
六百,2
十五,2
三,1
康熙,1
四十年,1
辛巳,1
春,1
正月,1
己丑,1
朔,1
堂子,1
行禮,1
還宮,1
拜神,1
畢率,1
諸王,1
貝勒貝子,1
公內,1
侍衛等詣,1
宮行,1
禮御殿,1
王,1
以下,1
各官外,1
藩王,1
使臣,1
上表,1
朝賀,1
停止,1
筵宴,1
朝鮮國王,1
李,1
焞,1
遣,1
陪臣,1
李光夏,1
表賀,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
戊子,1
賜,1
朝,1
正,1
外藩,1
烏朱穆,1
秦蘇,1
尼特,1
蒿齊,1
鄂爾,1
多斯,1
喀爾喀扎魯特,1
毛明安科爾沁,1
翁牛特,1
垓,1
土默特,1
郭爾羅斯四子,1
部落,1
喀喇沁,1
厄魯特,1
杜爾伯特,1
巴林,1
哈納,1
吳喇,1
敖漢扎賴,1
特奈曼,1
克西,1
克騰,1
阿祿,1
科爾沁,1
王貝勒貝子,1
公,1
台吉,1
額,1
駙,1
公主,1
之孫,1
塔布,1
囊,1
內,1
侍衛,1
宴,1
旌表,1
八旗,1
滿洲代通,1
妻黃氏,1
漢軍鍾,1
有玉,1
妻陳氏,1
直隸,1
各省,1
王嘉植妻,1
李氏,1
五十,1
人,1
孝女,1
蔡蕙,1
孝子,1
董元偉,1
各給,1
銀建坊,1
如例,1
是,1
歲,1
人丁,1
戶口,1
四十一,1
六十三,1
田地,1
山,1
蕩,1
畦,1
地,1
九十八,1
六千,1
八十五,1
頃,1
五十四,1
畝有,1
奇徵銀,1
七百,1
三十九,1
六十八,1
奇米,1
豆麥,1
九十六,1
八千,1
六十九,1
石有,1
奇草,1
八萬,1
一千六百,1
七十七,1
朿,1
茶,1
七千四百,1
五十五,1
引行,1
鹽,1
四百,1
三十一,1
九千,1
四百八十,1
三引,1
徵課,1
銀,1
二百六十,1
九萬,1
九,1
奇鑄,1
錢二萬,1
三千八百,1
六萬,1
五千,1
八百,1
有奇,1
二百二,1
庚寅,1
宮,1
問安,1
위기,0
