한자단어,빈도
萬,10
等,5
二百七十,3
二千,3
四百,3
二十五,3
三百,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
如例,2
上居,2
蒼震門,2
節婦,2
人丁,2
七十二,2
九百,2
三千五百,2
八十五,2
三千,2
七,1
康熙,1
五十七年,1
戊戌,1
春,1
正月,1
庚戌,1
朔以,1
大行,1
皇太后,1
梓宮,1
在,1
殯命,1
停止,1
朝賀,1
筵宴,1
朝鮮國王,1
李,1
焞,1
遣,1
陪臣,1
俞命雄,1
表賀,1
冬至,1
元旦,1
萬壽節,1
及,1
進歲,1
貢禮物賞,1
賚,1
己酉,1
內酉刻,1
回宮,1
旌表,1
八旗,1
滿洲,1
九什妻,1
馮氏,1
三十三,1
人,1
蒙古,1
花色,1
妻鈕,1
氏,1
一人漢,1
軍孟淑賢妻,1
張氏,1
二人,1
直隸,1
各省,1
郭奇,1
遴妻,1
王氏,1
五十一,1
人貞女,1
濮氏,1
六人,1
各給,1
銀建坊,1
是,1
歲,1
戶口,1
二十四,1
又,1
永不,1
加賦,1
滋生,1
二十一,1
田地,1
山,1
蕩,1
畦,1
地,1
七百,1
七百五十四,1
頃,1
九十,1
畝有,1
奇徵銀,1
六十二,1
兩有,1
奇米,1
豆麥,1
六百,1
五十五,1
石有,1
奇草,1
八千,1
四束,1
茶,1
三十五,1
引行,1
鹽,1
五百,1
十萬,1
三引,1
徵課,1
銀,1
七十八,1
一百二十,1
四兩有,1
奇鑄,1
錢,1
三,1
九千,1
一十六,1
七千,1
有奇,1
六,1
辛亥,1
內,1
위기,0
