한자단어,빈도
估計,5
曰,3
於,3
得,2
在,2
為,2
而,2
貴州,2
之,2
又,2
甚多,2
上詣,2
太皇太后,2
宮,2
各項,2
前,2
苦累,2
時價,2
量度,2
修造,2
其,2
銷算,2
物料,2
五月,1
戊寅,1
朔貴州,1
巡撫馬,1
世濟,1
陛辭,1
請,1
訓旨,1
上,1
漢軍多,1
有喜,1
做外,1
官者,1
不過,1
希,1
有所,1
耳,1
部院,1
衙門,1
見聞,1
甚近,1
尚,1
不敢,1
非,1
一至,1
遠處,1
即便,1
行私,1
今天,1
下,1
雖,1
甚,1
承平,1
百姓,1
甚苦,1
殘破,1
地方,1
其苦,1
尤甚,1
不但,1
火耗,1
多派,1
民即,1
一應供,1
億動輒取,1
民其,1
何堪,1
受此,1
重困乎,1
雲南,1
往來,1
差使,1
近聞,1
驛,1
遞,1
中,1
有,1
應給,1
一馬,1
多,1
至,1
數馬者,1
豈,1
不,1
病民,1
丁丑,1
問安,1
己卯,1
問安諭,1
大學士,1
等,1
採買,1
價值,1
浮,1
冒,1
欺飾者,1
是,1
以令,1
其核,1
減今,1
所,1
減者,1
太過,1
恐致,1
可令察訪,1
諭,1
凡諸,1
工程,1
今照,1
新例,1
但,1
新定,1
之例,1
凡,1
匠役,1
工價核,1
減太過,1
至於,1
皆,1
未,1
可,1
必前,1
此,1
已,1
完者,1
仍,1
照原,1
銷算凡,1
所值,1
價俱訪,1
위기,0
