한자단어,빈도
等,8
大臣,6
之,6
請,5
駐,4
有,4
通判,4
皇后,3
拉古,3
歸,3
以車,3
旨,3
朕,3
及,3
縣,3
驛,3
係,3
古北口,3
康熙,2
三十年,2
大將,2
軍,2
和,2
但,2
伊,2
遠,2
糧,2
疏言,2
俟,2
馬,2
運米,2
得,2
通州,2
向,2
一員,2
改為,2
天府,2
劄,2
站,2
仍,2
石匣,2
去,2
所,2
二十九年,1
庚午,1
冬,1
十月,1
戊午,1
朔享,1
太廟,1
遣領,1
侍衛內,1
公福,1
善行,1
禮遣,1
官,1
祭,1
永陵,1
福陵,1
昭陵,1
暫安奉,1
殿,1
孝陵仁,1
孝,1
孝昭,1
孝懿,1
陵,1
頒,1
時憲,1
曆,1
撫遠,1
碩裕親,1
王福全,1
疏言員,1
外郎,1
蒙古,1
爾,1
原解米,1
一千五百,1
石支給,1
大軍外給,1
留後之兵,1
扣,1
至,1
十月初,1
十日,1
止,1
克三,1
胡土克圖,1
侍郎,1
額爾賀,1
圖自,1
八月,1
起程,1
月,1
餘,1
不,1
以此,1
觀之噶爾丹似,1
出邊,1
遁,1
矣,1
以待,1
糗,1
不足,1
檄,1
喀,1
喇沁王,1
運致,1
上,1
曰,1
前,1
王,1
克,1
三等,1
再,1
撤兵,1
今聞,1
大兵,1
前來,1
哈,1
嗎,1
爾嶺,1
以,1
內此,1
乃,1
圍獵,1
最熟,1
地,1
距,1
米,1
處祗,1
二百,1
餘里,1
離喀喇沁,1
既,1
而欲動,1
其兵,1
此,1
說,1
甚謬,1
著議政,1
集議,1
尋議,1
軍福全,1
不行,1
請旨,1
擅率,1
大軍內,1
徙,1
日,1
一并,1
察議,1
今伊,1
克三額爾,1
賀圖,1
尚未,1
歸應,1
以前,1
鋒護,1
軍共,1
四百名,1
留大將,1
軍處,1
其餘,1
兵卒,1
火器,1
營兵,1
俱令,1
撤回,1
無庸置,1
議應,1
將坡,1
賴村,1
酌量,1
足,1
留後兵,1
之用,1
所餘,1
駱駝,1
運往,1
著裕親,1
王及,1
索額,1
圖,1
明珠,1
費揚古,1
阿密達,1
留後其,1
餘俱令,1
還京餘,1
如議,1
丙辰,1
兵部,1
議覆,1
陞,1
任,1
直隸,1
巡撫于,1
成龍,1
昌平,1
順義等州,1
榆林,1
土木,1
盛京,1
喜峰,1
古北,1
張家,1
殺,1
虎,1
諸口,1
要,1
道,1
原設,1
之馬,1
無多,1
每有,1
大差,1
必須,1
協濟,1
久已,1
為,1
累,1
於,1
等州,1
縣量,1
增馬,1
五百,1
零,1
八匹,1
分給,1
各,1
驛站,1
滿洲,1
章京,1
料理,1
原未設,1
有文,1
職查,1
大名府,1
二員請,1
裁去,1
順,1
專司,1
聽,1
霸昌通,1
永,1
二道,1
管轄至,1
地方,1
雖,1
腰站,1
甚遠,1
應將,1
密雲縣,1
驛承裁,1
改設,1
丞,1
管理,1
匹,1
廩,1
給事務應,1
如,1
依議,1
設順,1
著,1
保定,1
府,1
管驛,1
事,1
大清,1
聖祖合,1
天弘運,1
文武,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
功德,1
大,1
成仁,1
皇帝,1
實錄,1
卷,1
之一,1
百,1
四十八,1
己未,1
諭大學士,1
部院,1
今,1
躬,1
已,1
愈,1
因灼,1
艾未御,1
乾清門,1
耳,1
聽政,1
來無日,1
不見諸,1
共,1
相諮議,1
今處,1
宮中,1
雖日理,1
奏章,1
未嘗,1
廢事,1
而,1
與諸,1
懸隔思,1
如有所失,1
且,1
旗下,1
引見題,1
補,1
諸事,1
恐致,1
壅滯,1
奏事,1
乾清宮,1
之例,1
自,1
明日,1
始,1
如常,1
進乾,1
清宮,1
啟奏,1
喀爾喀蘇,1
泰伊爾,1
登台,1
吉等,1
自軍前,1
來京,1
請安賞,1
賚,1
銀幣,1
鞍馬,1
差,1
위기,0
