한자단어,빈도
請,3
大清,2
聖祖合,2
天弘運,2
文武,2
睿哲,2
恭儉,2
寬裕,2
孝敬,2
誠信,2
中,2
和,2
功德,2
大,2
成仁,2
皇帝,2
實錄,2
卷,2
之,2
二百四十,2
庚寅,2
兵部,2
議覆,2
增,2
陝西,2
武舉額,2
番,2
年,2
或,2
三,1
康熙,1
四十九年,1
閏,1
七月,1
甲午,1
朔,1
鄂爾,1
多斯,1
固山,1
貝子,1
拉希,1
扎木素,1
來,1
朝,1
陝西肅州,1
總兵,1
官路,1
振聲,1
疏,1
數應,1
不准,1
行上,1
諭,1
大學士,1
等,1
曰,1
人材,1
壯健者,1
甚多,1
又,1
令,1
兵丁,1
一體,1
鄉試,1
數苦,1
少則,1
有,1
才,1
者,1
不免,1
遺漏,1
以致,1
壅滯,1
著將,1
武舉,1
中額照,1
原數,1
二十名,1
四川,1
提督,1
岳,1
昇,1
龍,1
疏言川,1
省寧番,1
衛界,1
逼近,1
地本,1
二月,1
內有,1
賊,1
闖入,1
寧番衛,1
肆行,1
搶,1
刦,1
該,1
汛,1
遊,1
擊,1
周,1
玉,1
麟,1
率,1
領,1
官兵,1
前往,1
追緝,1
被,1
傷身,1
死,1
事,1
係,1
封疆,1
臣,1
親歷,1
邊境,1
剿,1
撫,1
相機,1
而,1
行綏靖,1
地方,1
應如,1
所,1
得,1
旨,1
依議,1
巡撫,1
羹,1
堯,1
亦,1
著,1
前去,1
二,1
丁酉,1
以四子,1
部落,1
故多羅達爾漢卓禮克圖,1
郡王,1
散濟,1
扎卜子,1
阿喇卜坦,1
多爾濟,1
襲爵,1
위기,0
