한자단어,빈도
等,6
考官,4
為,3
之,3
副,3
朱麻,3
喇,3
冒,3
來,2
鹽,2
銀,2
都,2
都察院,2
至,2
俱,2
領銀,2
兩,2
三百,2
斬,2
監候,2
秋,1
七月,1
庚子,1
朔享,1
太廟,1
遣領,1
侍衛內,1
大臣,1
公傅爾丹,1
行禮,1
巴林,1
榮憲固倫,1
公主,1
請安,1
己亥,1
科爾沁,1
和,1
碩額,1
駙多爾濟,1
塞,1
稜,1
朝戶,1
部議,1
覆,1
四川,1
巡撫,1
年,1
羹,1
堯,1
疏言,1
增引行,1
原屬裕課,1
便民,1
查,1
成都,1
所屬,1
犍,1
七州縣,1
竈,1
民請,1
增水陸,1
引,1
一千一百,1
四十五,1
張徵稅,1
七百,1
三十,1
兩有,1
奇,1
於,1
康熙,1
五十三年,1
為始,1
徵收,1
應如,1
所,1
請,1
從,1
先是,1
鑲,1
白旗,1
滿洲,1
統額爾錦疏,1
參原,1
任都統,1
領庫,1
一案,1
奉旨,1
交,1
查審,1
具奏,1
是,1
審奏,1
原任,1
統朱麻,1
喇內閣,1
學士,1
芭格,1
以上,1
應照,1
律擬,1
伊等,1
內,1
有,1
世職者,1
著,1
應襲,1
人承襲,1
驍騎,1
校常祿,1
兩未,1
之數照,1
銀數,1
分別,1
枷責得,1
旨,1
依擬,1
應,1
餘依議,1
辛丑,1
以,1
翰林院,1
侍讀,1
楊名,1
時為,1
陝西鄉,1
試正,1
編修索,1
泰為,1
詹事府,1
少,1
詹事梅,1
珩,1
江南,1
鄉試,1
正,1
編修,1
湯之旭,1
위기,0
