한자단어,빈도
皇帝,6
之,6
萬,6
世祖,4
章,4
等,4
上詣,3
寶宮,3
前行,3
四千,3
六百,3
文武,2
及,2
諡,2
於,2
祭禮,2
二十六,2
一十二,2
康熙,1
元年,1
壬寅,1
春,1
正月,1
乙亥,1
朔,1
禮還,1
宮詣,1
聖,1
祖母,1
皇太后,1
兩宮,1
聖母,1
皇后,1
前,1
請安,1
遵,1
懿旨,1
免行慶,1
賀禮免,1
王,1
以下,1
各官外,1
藩王,1
使臣,1
朝,1
賀朝,1
鮮國王,1
李,1
棩,1
遣,1
陪臣,1
柳慶昌,1
進,1
上尊,1
表文,1
曰,1
世德,1
作求,1
既孚,1
下,1
土之式,1
尊親,1
為,1
大聿舉,1
上,1
儀慶,1
同遐邇,1
歡均,1
內外,1
欽,1
惟,1
陛下,1
聖自天,1
縱孝冠,1
人倫誕受,1
多方,1
命維新,1
邦,1
國肇稱,1
殷禮事,1
有光,1
宗,1
祊,1
益,1
衍,1
錫,1
類,1
休,1
用,1
覃,1
普,1
被,1
渥,1
伏念臣,1
叨守,1
先緒,1
偏荷,1
皇靈跡,1
滯,1
箕,1
封,1
莫,1
預虎,1
拜,1
列心,1
懸魏,1
闕,1
苐,1
切,1
鰲,1
忭,1
誠,1
又,1
表,1
賀,1
冬至,1
元旦,1
萬壽節,1
進歲,1
貢禮物,1
宴賚如例,1
甲戌,1
除夕,1
致,1
旌表,1
八旗,1
節婦,1
滿洲布,1
舒庫,1
妻衛氏,1
二十七,1
人漢,1
軍,1
甯,1
古德妻,1
高氏,1
一人烈,1
婦滿洲,1
吳邁,1
妻塞氏,1
二人,1
各給,1
銀建坊,1
如例,1
是,1
歲,1
人丁,1
戶口,1
一千,1
九百,1
一十三,1
七千,1
六百五十二,1
田地,1
山,1
蕩,1
畦,1
地,1
五百,1
五千,1
二十八,1
頃,1
二十九,1
畝徵銀,1
二千五百,1
七十二,1
一百二十,1
四兩有,1
奇米,1
豆麥,1
一十,1
七千五百,1
五十八,1
石有,1
奇草,1
二百,1
四十,1
束茶,1
十五,1
萬七,1
千八百,1
二十三,1
引行,1
鹽,1
四百,1
八千,1
三百,1
八十七,1
引徵課,1
銀,1
二百七十,1
二萬,1
一千二百,1
兩有,1
奇鑄,1
錢二萬,1
九千,1
一百五十,1
八萬,1
有奇,1
大清,1
聖祖合,1
天弘運,1
睿哲,1
恭儉,1
寬裕,1
孝敬,1
誠信,1
中,1
和,1
功德,1
大,1
成仁,1
實錄,1
卷,1
五,1
辛巳,1
期年致,1
위기,0
